,Model Parameters,Support Loss,Challenge Loss
cachet Exp. Model,[0.0036100773465060207, 1.3093352189354721],34.35658139882079,304.0064052134524
cachet Poly. Model,[5.628123577837929e-05, 2.9883164243984766],34.50611053236088,388.7498961349487
