,16,0.18
,10,0.05
,19,0.82
,9,0.03
,17,0.2
,11,0.28
,13,0.07
,13,0.05
,19,0.97
,14,0.13
,19,1.37
,16,0.37
,12,0.12
,9,0.03
,19,0.95
,14,0.37
,13,0.17
,11,0.05
,9,0.02
,15,0.2
,17,0.41
,17,0.72
,9,0.03
,17,0.56
,10,0.03
,16,0.2
,11,0.05
,17,0.67
,13,0.05
,16,0.37
,16,0.4
,13,0.1
,15,0.63
,18,0.74
,14,0.09
,11,0.08
,14,0.16
,19,0.28
,19,0.26
,15,0.18
,19,1.73
,18,1.32
,11,0.1
,13,0.14
,16,0.42
,18,0.4
,13,0.13
,16,0.48
,13,0.39
,12,0.07
,10,0.07
,17,0.31
,10,0.05
,12,0.07
,15,0.43
,12,0.09
,11,0.07
,15,0.26
,15,0.49
,17,0.42
,14,0.16
,18,0.68
,12,0.11
,17,0.44
,8,0.07
,13,0.07
,18,1.95
,15,0.38
,16,0.32
,18,0.77
,13,0.06
,16,0.24
,16,0.32
,13,0.18
,19,0.8
,14,0.18
,12,0.08
,15,0.42
,13,0.14
,14,0.08
,19,0.54
,17,1.85
,13,0.11
,13,0.16
,14,0.15
,17,0.37
,10,0.05
,18,1.04
,17,2.07
,17,0.84
,14,0.15
,16,0.28
,16,0.35
,20,1.04
,17,0.39
,15,0.09
,15,0.12
,12,0.12
,19,1.34
,14,0.13
,17,1.01
,14,0.24
,15,0.11
,11,0.15
,14,0.22
,17,0.27
,11,0.06
,17,0.31
,19,0.76
,13,0.23
,14,0.34
,16,0.58
,16,0.29
,16,0.34
,16,0.57
,16,0.29
,12,0.09
,10,0.04
,19,1.03
,9,0.04
,11,0.05
,18,0.38
,15,0.42
,9,0.08
,17,0.49
,19,0.64
,16,0.29
,13,0.1
,12,0.11
,13,0.21
,13,0.1
,12,0.09
,11,0.05
,14,0.08
,17,0.56
,16,0.25
,10,0.04
,14,0.16
,12,0.09
,15,0.32
,11,0.03
,9,0.05
,15,0.26
,14,0.17
,10,0.07
,13,0.18
,15,0.24
,17,0.26
,10,0.08
,16,0.26
