,10,11,12,13,14,15,16,17,18
# of instances,213.0,368.0,499.0,579.0,651.0,667.0,644.0,620.0,416.0
mean,0.06450704225352116,0.07747282608695659,0.10685370741483004,0.14050086355785807,0.18766513056835638,0.27983508245877065,0.3920807453416147,0.5301935483870969,0.7025721153846155
Q(0.1),[0.030437303623092958, 0.030437303623092958],[0.04045405275138663, 0.04045405275138663],[0.050553190967315996, 0.050553190967315996],[0.07024727510470628, 0.07024727510470628],[0.0904962225146319, 0.0904962225146319],[0.13009042972564258, 0.13009042972564258],[0.19013457920888732, 0.19013457920888732],[0.2801123370814846, 0.2801123370814846],[0.360623267941553, 0.360623267941553]
Q(0.25),[0.04011434184778963, 0.04011434184778963],[0.0501692702662239, 0.0501692702662239],[0.06996860892326084, 0.06996860892326084],[0.09008722508440738, 0.09008722508440738],[0.12025993048040033, 0.12025993048040033],[0.17987630799759546, 0.17987630799759546],[0.2600954417134184, 0.2600954417134184],[0.3602009625189705, 0.3602009625189705],[0.47009744531833053, 0.47009744531833053]
median,[0.059846407457731406, 0.059846407457731406],[0.06993498407021193, 0.06993498407021193],[0.09008704004192963, 0.09008704004192963],[0.12015342043927088, 0.12015342043927088],[0.16974125903222914, 0.16974125903222914],[0.24999355030763223, 0.24999355030763223],[0.3500296037580015, 0.3500296037580015],[0.47988268265855066, 0.47988268265855066],[0.6597240466370219, 0.6597240466370219]
Q(0.75),[0.07013958817417333, 0.07013958817417333],[0.08998511144831081, 0.08998511144831081],[0.12978840925851032, 0.12978840925851032],[0.17000620354108578, 0.17000620354108578],[0.22017074857837207, 0.22017074857837207],[0.33996586326186246, 0.33996586326186246],[0.4897165938306463, 0.4897165938306463],[0.6498226261635919, 0.6498226261635919],[0.8799494190103345, 0.8799494190103345]
Q(0.9),[0.10949786824088946, 0.10949786824088946],[0.12915434609584206, 0.12915434609584206],[0.1701065817956769, 0.1701065817956769],[0.22977678495863493, 0.22977678495863493],[0.3100586533089085, 0.3100586533089085],[0.46936018769035553, 0.46936018769035553],[0.6295692240349319, 0.6295692240349319],[0.839212681098267, 0.839212681098267],[1.0903439154196906, 1.0903439154196906]
