,Model Parameters,Support Loss,Challenge Loss
d4 Exp. Model,[0.009736793670265333, 1.398181418612369],171.93308373316844,3451.0832893123247
d4 Poly. Model,[3.56253849906369e-05, 3.881079872140816],172.8443698965027,4393.252646984874
