,10,11,12,13,14,15,16,17,18
# of instances,213.0,368.0,499.0,579.0,651.0,667.0,644.0,620.0,416.0
mean,0.29577464788732405,0.41179347826086937,0.5812424849699404,0.871243523316062,1.316390168970816,2.1034182908545707,3.35642857142857,5.092612903225799,7.576490384615393
Q(0.1),[0.18998969138066982, 0.18998969138066982],[0.2403849008034296, 0.2403849008034296],[0.31989745603850306, 0.31989745603850306],[0.4505731876780786, 0.4505731876780786],[0.6902823969315198, 0.6902823969315198],[0.9998116283196725, 0.9998116283196725],[1.580792123333083, 1.580792123333083],[2.4902623737950003, 2.4902623737950003],[3.4908729963452028, 3.4908729963452028]
Q(0.25),[0.21029571564284116, 0.21029571564284116],[0.29024303544328584, 0.29024303544328584],[0.39992499480382215, 0.39992499480382215],[0.5798596010412352, 0.5798596010412352],[0.8900887272056224, 0.8900887272056224],[1.3401989033983814, 1.3401989033983814],[2.1099042276407456, 2.1099042276407456],[3.2602244212498768, 3.2602244212498768],[4.72987316930047, 4.72987316930047]
median,[0.27000022089029607, 0.27000022089029607],[0.3899382760006395, 0.3899382760006395],[0.5200610312516467, 0.5200610312516467],[0.7799530274959212, 0.7799530274959212],[1.2097757129642708, 1.2097757129642708],[1.8001063943942301, 1.8001063943942301],[2.9298111589416496, 2.9298111589416496],[4.500001020155994, 4.500001020155994],[6.729798859202951, 6.729798859202951]
Q(0.75),[0.3399998018304192, 0.3399998018304192],[0.4900483724244474, 0.4900483724244474],[0.6801493890527668, 0.6801493890527668],[1.0298933481680108, 1.0298933481680108],[1.5801645295639961, 1.5801645295639961],[2.470211178298563, 2.470211178298563],[4.09985880494656, 4.09985880494656],[6.130092602511915, 6.130092602511915],[9.310108187232258, 9.310108187232258]
Q(0.9),[0.4593678360488852, 0.4593678360488852],[0.6101345735958563, 0.6101345735958563],[0.9197587355293106, 0.9197587355293106],[1.3401525748303984, 1.3401525748303984],[2.050062898229206, 2.050062898229206],[3.389851639478089, 3.389851639478089],[5.639660872785465, 5.639660872785465],[8.25009312432679, 8.25009312432679],[12.139440442463973, 12.139440442463973]
