,23,7.73
,24,18.21
,24,7.16
,17,0.21
,21,3.63
,19,1.28
,23,9.72
,22,7.65
,24,18.1
,23,3.93
,19,0.44
,17,0.35
,23,6.27
,22,3.22
,24,22.31
,19,1.03
,22,5.69
,13,0.06
,23,5.33
,18,0.25
,14,0.06
,19,0.7
,23,5.99
,21,2.93
,16,0.11
,20,1.87
,24,23.08
,23,5.61
,21,4.56
,19,1.0
,21,6.51
,18,1.13
,23,10.39
,21,5.04
,17,0.2
,18,0.19
,21,4.97
,22,5.04
,17,0.28
,22,6.39
,21,3.92
,17,0.35
,22,7.98
,18,0.28
,19,0.79
,24,13.56
,22,5.09
,18,0.55
,18,0.45
,21,5.46
,16,0.17
,24,19.26
,22,2.06
,13,0.06
,16,0.31
,24,15.39
,21,4.9
,21,1.82
,16,0.29
,23,8.81
,16,0.29
,19,1.41
,21,2.49
,20,2.32
,21,1.48
,17,0.45
,23,11.66
,23,8.43
,20,2.47
,18,0.58
,22,10.19
,25,11.12
,23,6.16
,20,0.59
,23,12.34
,20,1.41
,23,18.92
,18,0.58
,15,0.16
,22,6.08
,16,0.29
,19,1.0
,23,18.93
,16,0.11
,23,7.46
,16,0.17
,20,2.32
,17,0.42
,20,0.63
,21,3.27
,22,7.07
,22,9.42
,21,4.11
,16,0.17
,19,0.59
,21,2.98
,18,0.89
,17,0.54
,20,1.64
,18,0.87
,22,9.69
,18,0.53
,23,8.0
,21,4.71
,22,3.49
,22,11.76
,19,0.74
,22,11.11
,16,0.16
,18,0.42
,19,1.26
,21,2.25
,21,1.66
,24,6.56
,18,0.35
,21,3.23
,15,0.08
,18,0.69
,25,22.41
,20,1.48
,25,22.08
,22,8.85
,20,1.69
,24,15.27
,22,14.79
,20,1.31
,21,2.35
,17,0.42
,22,7.98
,17,0.46
,22,5.63
,23,6.87
,19,0.82
,21,1.68
,25,17.48
,16,0.18
,26,56.26
,21,2.4
,19,2.29
,17,0.22
,17,0.28
,18,0.74
,19,1.42
,22,5.23
,22,3.94
,23,3.34
,17,0.24
,22,4.3
,20,1.38
,20,1.96
,23,12.08
,13,0.04
,22,5.19
,24,12.97
,22,18.23
,23,14.29
,21,4.46
,19,1.47
,15,0.15
,22,2.38
,20,2.61
,22,5.09
,19,0.93
,17,0.26
,20,3.29
,20,2.85
,16,0.15
,18,0.77
,21,3.04
,18,0.26
,17,0.32
,22,6.08
,21,7.61
,24,22.08
,20,1.71
,15,0.08
,17,0.2
,19,2.12
,18,0.36
,24,20.93
,19,0.52
,25,35.43
,13,0.06
,20,1.49
,22,2.74
,20,1.69
,25,22.55
,22,5.28
,17,0.37
,17,0.49
,18,0.5
,16,0.15
,17,0.19
,21,2.09
,20,2.42
,18,0.91
,20,1.72
,20,1.34
,24,15.98
,19,2.35
,21,10.18
,17,0.3
,24,19.59
,22,4.76
,23,5.95
,24,29.73
,18,0.9
,21,3.95
,20,1.83
,16,0.13
,23,17.74
,22,3.5
,16,0.25
,21,5.69
,26,36.55
,17,0.26
,24,16.53
,25,45.73
,23,10.39
,22,6.39
,20,2.31
,15,0.09
,21,4.17
,22,3.39
,25,36.69
,18,0.64
,20,2.0
,23,12.19
,24,21.5
,22,4.62
,18,0.33
,19,0.79
,22,8.15
,22,4.11
,19,0.9
,21,2.1
,23,13.99
,17,0.23
,22,9.08
,22,3.43
,17,0.46
,26,55.86
,20,1.17
