,14,15,16,17,18,19,20,21,22,23,24,25
# of instances,122.0,201.0,365.0,441.0,508.0,557.0,520.0,588.0,621.0,545.0,347.0,165.0
mean,0.0745081967213116,0.11258706467661693,0.1834520547945205,0.33705215419501133,0.6062204724409445,1.0962118491921005,2.007865384615384,3.7761734693877536,6.349516908212557,10.665798165137616,18.475706051873207,29.935575757575734
Q(0.1),[0.05083478012792834, 0.05083478012792834],[0.07984135225513109, 0.07984135225513109],[0.1098735832842352, 0.1098735832842352],[0.17972431966364205, 0.17972431966364205],[0.3100006524220382, 0.3100006524220382],[0.5597999098231057, 0.5597999098231057],[1.0104879389539567, 1.0104879389539567],[1.730669312936394, 1.730669312936394],[3.4900294155747633, 3.4900294155747633],[5.500454546655886, 5.500454546655886],[9.490851178308837, 9.490851178308837],[14.440445313593324, 14.440445313593324]
Q(0.25),[0.06020534168990734, 0.06020534168990734],[0.09005421925292607, 0.09005421925292607],[0.1301390630992876, 0.1301390630992876],[0.22983326624401035, 0.22983326624401035],[0.4099965835489448, 0.4099965835489448],[0.7100847803061063, 0.7100847803061063],[1.3398680775215395, 1.3398680775215395],[2.520136572933256, 2.520136572933256],[4.530009887630843, 4.530009887630843],[7.209963046621903, 7.209963046621903],[12.52091270131084, 12.52091270131084],[20.470002894546404, 20.470002894546404]
median,[0.07004006419350443, 0.07004006419350443],[0.10012781434043545, 0.10012781434043545],[0.17000691648777483, 0.17000691648777483],[0.3100369330952415, 0.3100369330952415],[0.5599239014244491, 0.5599239014244491],[0.9900004515921311, 0.9900004515921311],[1.8100075958605542, 1.8100075958605542],[3.460106395657317, 3.460106395657317],[5.750031423433188, 5.750031423433188],[9.700007164168458, 9.700007164168458],[16.620011814089963, 16.620011814089963],[26.79000036314722, 26.79000036314722]
Q(0.75),[0.08008502687411923, 0.08008502687411923],[0.1201009132733924, 0.1201009132733924],[0.20999760748357785, 0.20999760748357785],[0.41018603918039664, 0.41018603918039664],[0.7298092629440118, 0.7298092629440118],[1.3697849888057132, 1.3697849888057132],[2.549860289926315, 2.549860289926315],[4.719954647283516, 4.719954647283516],[7.769993880630422, 7.769993880630422],[13.329796375711323, 13.329796375711323],[22.959152949471115, 22.959152949471115],[36.749999961174595, 36.749999961174595]
Q(0.9),[0.09964403537741667, 0.09964403537741667],[0.1691406076341229, 0.1691406076341229],[0.2899720179132014, 0.2899720179132014],[0.5295221434300267, 0.5295221434300267],[0.949882497971031, 0.949882497971031],[1.7502192706701198, 1.7502192706701198],[3.1795529703487873, 3.1795529703487873],[6.199663862744988, 6.199663862744988],[9.649988964589093, 9.649988964589093],[17.549548545294833, 17.549548545294833],[29.169330252517913, 29.169330252517913],[47.35955550603832, 47.35955550603832]
