,Model Parameters,Support Loss,Challenge Loss
dpmc Exp. Model,[2.74015342974436e-05, 1.7321885668708135],91.95937579849739,4869.665179646315
dpmc Poly. Model,[1.3215759244736417e-12, 9.250087567074672],92.63463765244346,7643.544374869264
