,Model Parameters,Support Loss,Challenge Loss
minic2d Exp. Model,[0.0020471949011967834, 1.309472558693525],795.0502823780107,13424.127155656612
minic2d Poly. Model,[6.935765182799006e-10, 6.725935700518789],798.2035130933735,15142.8693220672
