,Model Parameters,Support Loss,Challenge Loss
dpmc Exp. Model,[1.4168201712417318e-05, 1.331851959817444],3591.7613546821344,20826.434354506906
dpmc Poly. Model,[8.122630567496285e-20, 11.996611257069162],3592.132756459185,20824.951054350597
