,35,36,37,38,39,40,41,42,43,44,45,46,47,48
# of instances,18.0,42.0,138.0,266.0,406.0,481.0,568.0,596.0,653.0,723.0,637.0,378.0,158.0,32.0
mean,0.11222222222222215,0.10333333333333335,0.1255072463768115,0.11973684210526295,0.12036945812807852,0.13336798336798308,0.14235915492957799,0.1486744966442954,0.16447166921898884,0.19345781466113426,0.18624803767660902,0.24875661375661356,0.25018987341772153,0.21843749999999987
Q(0.1),[0.08017461632356496, 0.08017461632356496],[0.08016251486498979, 0.08016251486498979],[0.08008773223072828, 0.08008773223072828],[0.08025357918571316, 0.08025357918571316],[0.080338116637624, 0.080338116637624],[0.08041088544068818, 0.08041088544068818],[0.08038798011356985, 0.08038798011356985],[0.08060262300488122, 0.08060262300488122],[0.08067756243463671, 0.08067756243463671],[0.08997415791248185, 0.08997415791248185],[0.09000009268588839, 0.09000009268588839],[0.0902533153096676, 0.0902533153096676],[0.0998841536527879, 0.0998841536527879],[0.09055890447648066, 0.09055890447648066]
Q(0.25),[0.08020953836895675, 0.08020953836895675],[0.08025642346799436, 0.08025642346799436],[0.08025266057813697, 0.08025266057813697],[0.08031454398871432, 0.08031454398871432],[0.08999036917128123, 0.08999036917128123],[0.08999085193629931, 0.08999085193629931],[0.09000036441341973, 0.09000036441341973],[0.09019790682083786, 0.09019790682083786],[0.09028891652797293, 0.09028891652797293],[0.10003876943896195, 0.10003876943896195],[0.1000726962565917, 0.1000726962565917],[0.1003991524502636, 0.1003991524502636],[0.11024460864264032, 0.11024460864264032],[0.11004489907087951, 0.11004489907087951]
median,[0.0900671502798222, 0.0900671502798222],[0.09982584191422116, 0.09982584191422116],[0.09010011856696608, 0.09010011856696608],[0.09955990059767239, 0.09955990059767239],[0.10005129604517855, 0.10005129604517855],[0.10007327296088536, 0.10007327296088536],[0.10017457787958023, 0.10017457787958023],[0.11001179017649608, 0.11001179017649608],[0.11984832408815416, 0.11984832408815416],[0.12983601044791246, 0.12983601044791246],[0.12996727929608995, 0.12996727929608995],[0.13991405980772023, 0.13991405980772023],[0.15033320195820798, 0.15033320195820798],[0.1498170051682748, 0.1498170051682748]
Q(0.75),[0.11960599606581629, 0.11960599606581629],[0.12003760215387173, 0.12003760215387173],[0.11955646755498843, 0.11955646755498843],[0.11996814524225538, 0.11996814524225538],[0.129750594078093, 0.129750594078093],[0.13333691790443286, 0.13333691790443286],[0.14002449000615022, 0.14002449000615022],[0.15971977209743696, 0.15971977209743696],[0.16991027253115024, 0.16991027253115024],[0.20971967754242, 0.20971967754242],[0.1999658773516747, 0.1999658773516747],[0.22973244684428254, 0.22973244684428254],[0.25004658225687193, 0.25004658225687193],[0.2398665880599751, 0.2398665880599751]
Q(0.9),[0.14030522739617773, 0.14030522739617773],[0.130054346746105, 0.130054346746105],[0.18036307534036763, 0.18036307534036763],[0.16969492234304245, 0.16969492234304245],[0.17000184351813455, 0.17000184351813455],[0.18991522848384354, 0.18991522848384354],[0.22966246939001037, 0.22966246939001037],[0.23997458993324294, 0.23997458993324294],[0.28019240138684626, 0.28019240138684626],[0.35998770692129356, 0.35998770692129356],[0.3396337819526452, 0.3396337819526452],[0.41039314727301274, 0.41039314727301274],[0.47055058108610154, 0.47055058108610154],[0.4798861048175994, 0.4798861048175994]
