,Model Parameters,Support Loss,Challenge Loss
d4 Exp. Model,[0.043406793083453354, 1.021087006345233],41.78097820024893,144.7478655941713
d4 Poly. Model,[0.0054904444419548145, 0.7867750665118365],41.77853886417106,145.20308453384712
