,Model Parameters,Support Loss,Challenge Loss
c2d Exp. Model,[0.5501738574226971, 0.9999953428177779],45.34276609914077,113.53831468528726
c2d Poly. Model,[0.5503891462659027, -0.0001564574101848848],45.342769532914254,113.53796651712933
