,Model Parameters,Support Loss,Challenge Loss
c2d Exp. Model,[0.00243456982090817, 1.3755588860974102],2516.296053584396,23613.05777209709
c2d Poly. Model,[9.787153247744207e-11, 7.770936772117693],2518.269354586451,26176.48803942268
