,Model Parameters,Support Loss,Challenge Loss
cachet Exp. Model,[0.0004483744076444822, 1.1548955118872934],57.18758969705842,280.20938217715695
cachet Poly. Model,[1.1584704930615993e-09, 5.037115601302503],57.18452370670814,284.83572071804326
