,Model Parameters,Support Loss,Challenge Loss
dpmc Exp. Model,[0.00024853298490279526, 1.3024218747069225],4637.2307907420845,34808.013232033525
dpmc Poly. Model,[1.3731717937741244e-15, 9.8877409573779],4636.574353799209,34831.422196395935
