,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
# of instances,16.131380610817274,56.08757280191057,150.91966427572007,314.35029120765284,474.9779890558045,613.9779676478537,570.8831363603472,691.96340786079,802.9195144200796,834.2917737560292,824.4304770762782,647.8027792281229,341.28457949428525,119.46711203139381,25.41604573690497
mean,2.72990598108737,2.5591911590228165,3.4924097353598427,4.998722843391533,7.2304969433187125,9.363393284730137,11.07855130789767,14.490367892823997,20.839613716159874,29.997649197242936,39.59449887832852,46.51892578572733,48.61108637278994,49.1464820609217,61.03997628756406
Q(0.1),[0.4852228274351482, 0.4852228274351482],[0.44050354649834844, 0.44050354649834844],[0.8207610013182318, 0.8207610013182318],[1.0302523897016727, 1.0302523897016727],[1.5299739403644708, 1.5299739403644708],[1.8401281561522183, 1.8401281561522183],[2.650518518559238, 2.650518518559238],[3.372392303882407, 3.372392303882407],[4.520289096979468, 4.520289096979468],[6.159969759897649, 6.159969759897649],[8.05976664044556, 8.05976664044556],[10.100619994422232, 10.100619994422232],[12.910396075895733, 12.910396075895733],[14.440210622327868, 14.440210622327868],[17.12029034729494, 17.12029034729494]
Q(0.25),[0.9888607179318285, 0.9888607179318285],[0.8196324147304495, 0.8196324147304495],[1.219996694882525, 1.219996694882525],[1.7104941851603144, 1.7104941851603144],[2.499814864743229, 2.499814864743229],[2.989673456980995, 2.989673456980995],[4.100000235594052, 4.100000235594052],[5.720136767071381, 5.720136767071381],[7.57745429176623, 7.57745429176623],[9.818567601660106, 9.818567601660106],[12.289861437459194, 12.289861437459194],[15.529796434209857, 15.529796434209857],[20.41014493023249, 20.41014493023249],[21.931743737773104, 21.931743737773104],[36.600081751619655, 36.600081751619655]
median,[2.4600768471627816, 2.4600768471627816],[1.9000460470906546, 1.9000460470906546],[2.4291442066856916, 2.4291442066856916],[3.0280138125383473, 3.0280138125383473],[4.79544560027216, 4.79544560027216],[5.729972385994188, 5.729972385994188],[7.2500056575672716, 7.2500056575672716],[9.43958316892531, 9.43958316892531],[12.969868506726925, 12.969868506726925],[17.130180025618756, 17.130180025618756],[21.654308494932593, 21.654308494932593],[27.729089296644815, 27.729089296644815],[32.80988002751474, 32.80988002751474],[33.040029259602306, 33.040029259602306],[49.870527663997564, 49.870527663997564]
Q(0.75),[5.1096815884934585, 5.1096815884934585],[3.9599477766701057, 3.9599477766701057],[4.129843774582696, 4.129843774582696],[5.404196538043152, 5.404196538043152],[8.340222368891773, 8.340222368891773],[10.429892559859582, 10.429892559859582],[12.000088888747996, 12.000088888747996],[17.469856568830437, 17.469856568830437],[23.668613342234494, 23.668613342234494],[32.89622886136203, 32.89622886136203],[39.74991560031776, 39.74991560031776],[49.13011271174764, 49.13011271174764],[56.45818424983008, 56.45818424983008],[56.50288515041757, 56.50288515041757],[85.02136701062227, 85.02136701062227]
Q(0.9),[5.730043000250134, 5.730043000250134],[6.239199184296012, 6.239199184296012],[6.799844145810312, 6.799844145810312],[9.679938120956649, 9.679938120956649],[14.350459532508921, 14.350459532508921],[19.159837552135286, 19.159837552135286],[21.71932085312892, 21.71932085312892],[30.778178984495753, 30.778178984495753],[43.499482460196305, 43.499482460196305],[62.76938682448235, 62.76938682448235],[79.8996523491478, 79.8996523491478],[91.22869709170482, 91.22869709170482],[95.74911150532716, 95.74911150532716],[102.86487809267419, 102.86487809267419],[105.0200503456872, 105.0200503456872]
