,Model Parameters,Support Loss,Challenge Loss
d4 Exp. Model,[0.004796954841443556, 1.3789986198834938],6342.865436957913,42255.9001605467
d4 Poly. Model,[1.9936797509717905e-10, 7.780023443870505],6345.135421887656,41488.02163800844
