,21,22,23,24,25,26,27,28,29,30,31,32,33
# of instances,44.0,109.0,196.0,306.0,397.0,448.0,457.0,509.0,546.0,482.0,418.0,217.0,77.0
mean,6.647500000000003,7.080825688073395,9.948877551020415,13.833202614379081,18.432418136020136,25.211629464285743,36.10207877461706,44.3062082514735,61.857655677655664,77.30356846473032,92.66619617224887,114.39640552995385,175.47597402597395
Q(0.1),[1.8103346036753634, 1.8103346036753634],[2.4796092238004515, 2.4796092238004515],[3.130558376609465, 3.130558376609465],[3.9405571025783637, 3.9405571025783637],[6.880726946236693, 6.880726946236693],[9.149246684507933, 9.149246684507933],[11.940676505276388, 11.940676505276388],[16.709785218919965, 16.709785218919965],[24.680560096030113, 24.680560096030113],[33.91011558107129, 33.91011558107129],[47.299661531040975, 47.299661531040975],[64.17066751704778, 64.17066751704778],[80.14066700502453, 80.14066700502453]
Q(0.25),[3.100133448760991, 3.100133448760991],[3.780003322281524, 3.780003322281524],[4.959793430231394, 4.959793430231394],[6.560144773335289, 6.560144773335289],[9.920007762422136, 9.920007762422136],[13.429872665032917, 13.429872665032917],[18.000000335446558, 18.000000335446558],[24.800200121082472, 24.800200121082472],[36.68013926557529, 36.68013926557529],[52.17013439428058, 52.17013439428058],[64.94013521220675, 64.94013521220675],[81.91000022497933, 81.91000022497933],[97.46000000105947, 97.46000000105947]
median,[4.684829970938192, 4.684829970938192],[5.1200062476005614, 5.1200062476005614],[7.959748877996429, 7.959748877996429],[10.968793278000668, 10.968793278000668],[14.610004859077304, 14.610004859077304],[20.510001542446226, 20.510001542446226],[28.56000050582579, 28.56000050582579],[37.12000083580045, 37.12000083580045],[56.60975829257227, 56.60975829257227],[74.82910199265183, 74.82910199265183],[88.0964629268808, 88.0964629268808],[109.17000005669284, 109.17000005669284],[120.95000000675833, 120.95000000675833]
Q(0.75),[7.741290211156744, 7.741290211156744],[8.790121645619307, 8.790121645619307],[12.42986664653146, 12.42986664653146],[17.599864921278584, 17.599864921278584],[22.699999622780233, 22.699999622780233],[30.88015946591713, 30.88015946591713],[45.71999853569172, 45.71999853569172],[58.19999988253551, 58.19999988253551],[81.88986566778013, 81.88986566778013],[100.14986572128213, 100.14986572128213],[119.33986631421695, 119.33986631421695],[131.0399992527005, 131.0399992527005],[140.11000006784192, 140.11000006784192]
Q(0.9),[13.849666665780576, 13.849666665780576],[15.03169566090844, 15.03169566090844],[20.219443510057996, 20.219443510057996],[26.849443292906948, 26.849443292906948],[33.93972221338259, 33.93972221338259],[48.22845218099221, 48.22845218099221],[68.23708731562014, 68.23708731562014],[83.7911166184212, 83.7911166184212],[108.39944162988466, 108.39944162988466],[123.61988882896367, 123.61988882896367],[139.71143697143927, 139.71143697143927],[144.8393019632521, 144.8393019632521],[499.99945299145236, 499.99945299145236]
