,Model Parameters,Support Loss,Challenge Loss
dpmc Exp. Model,[0.0003629610015947614, 1.3576257977424595],7172.992779330867,70118.88058313417
dpmc Poly. Model,[2.678725865065288e-15, 10.21728927854565],7174.41183224319,72606.66603658376
