,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
# of instances,21.0,60.0,127.0,251.0,338.0,458.0,494.0,527.0,572.0,603.0,572.0,546.0,356.0,137.0,24.0
mean,3.52095238095238,3.8066666666666698,6.047952755905515,9.017131474103586,11.952189349112423,16.287816593886454,21.969595141700406,31.277817836812087,46.036835664335655,62.751376451077974,79.39800699300704,107.75380952380941,140.86907303370785,163.878394160584,228.4979166666665
Q(0.1),[1.0400001347033776, 1.0400001347033776],[1.3599247275812951, 1.3599247275812951],[1.8206707713519013, 1.8206707713519013],[2.4500013323272696, 2.4500013323272696],[2.7394150154997967, 2.7394150154997967],[4.679298513027884, 4.679298513027884],[6.280334814241733, 6.280334814241733],[8.370692443860415, 8.370692443860415],[14.470112863008744, 14.470112863008744],[17.70022601456328, 17.70022601456328],[26.01000077082566, 26.01000077082566],[33.690561688524966, 33.690561688524966],[47.72055769085132, 47.72055769085132],[57.21066677706866, 57.21066677706866],[102.73033334372437, 102.73033334372437]
Q(0.25),[1.5300000404987708, 1.5300000404987708],[1.939834653587203, 1.939834653587203],[2.6407324576365085, 2.6407324576365085],[4.300069315438977, 4.300069315438977],[5.120399055632301, 5.120399055632301],[6.970369188748083, 6.970369188748083],[10.320140775849225, 10.320140775849225],[12.679583558843657, 12.679583558843657],[20.759867398082054, 20.759867398082054],[29.83068306318856, 29.83068306318856],[38.33975148194452, 38.33975148194452],[50.69013337568605, 50.69013337568605],[68.00918136311572, 68.00918136311572],[84.96000013221857, 84.96000013221857],[154.78593620337523, 154.78593620337523]
median,[2.6400005341862838, 2.6400005341862838],[3.028728235199365, 3.028728235199365],[4.630001935231218, 4.630001935231218],[6.8700008782446655, 6.8700008782446655],[8.639530949955699, 8.639530949955699],[11.539722239998635, 11.539722239998635],[16.35934081447776, 16.35934081447776],[21.74000056483972, 21.74000056483972],[33.760000022487176, 33.760000022487176],[47.47000133500999, 47.47000133500999],[61.73899261653036, 61.73899261653036],[81.11963541848351, 81.11963541848351],[109.16696255138561, 109.16696255138561],[132.07000006075762, 132.07000006075762],[191.55301659839725, 191.55301659839725]
Q(0.75),[4.429999753017941, 4.429999753017941],[4.800384512029788, 4.800384512029788],[8.209197225168953, 8.209197225168953],[10.969210879680144, 10.969210879680144],[15.23986657711244, 15.23986657711244],[19.769865211243218, 19.769865211243218],[27.729701817739894, 27.729701817739894],[38.59916620270245, 38.59916620270245],[55.53044754259001, 55.53044754259001],[77.06934966855515, 77.06934966855515],[96.87004671865046, 96.87004671865046],[133.9398649434161, 133.9398649434161],[177.06066022244994, 177.06066022244994],[206.15999997227547, 206.15999997227547],[241.61446840007216, 241.61446840007216]
Q(0.9),[5.959999999181377, 5.959999999181377],[6.9401617708228205, 6.9401617708228205],[13.589331598549622, 13.589331598549622],[16.78005106052342, 16.78005106052342],[24.518414852524444, 24.518414852524444],[35.228459378436504, 35.228459378436504],[44.419666618894354, 44.419666618894354],[59.579722216366754, 59.579722216366754],[91.4598882901765, 91.4598882901765],[119.16977776029871, 119.16977776029871],[153.41988888603598, 153.41988888603598],[215.29944379847666, 215.29944379847666],[267.06944444223035, 267.06944444223035],[319.369333281295, 319.369333281295],[499.9992222219076, 499.9992222219076]
