,Model Parameters,Support Loss,Challenge Loss
dpmc Exp. Model,[0.0002523375319173795, 1.4179153273798928],9845.76267784403,95229.57237305045
dpmc Poly. Model,[7.379589323674783e-16, 10.888594861920865],9850.19952251638,99903.7827149948
