,Model Parameters,Support Loss,Challenge Loss
cachet Exp. Model,[0.0024731941897110357, 1.2844865825849043],770.6542222149083,4246.768059811318
cachet Poly. Model,[2.430141432209584e-09, 6.246286826994037],770.9939359844278,4793.518941298068
