,Model Parameters,Support Loss,Challenge Loss
c2d Exp. Model,[0.010643684951512895, 1.162299072606379],937.3745340028896,6335.764553944768
c2d Poly. Model,[6.735624795336976e-08, 4.843784855488366],937.7193225053422,6554.57386963853
