,Model Parameters,Support Loss,Challenge Loss
c2d Exp. Model,[0.0018698015111427437, 1.33601507299821],3766.222317177256,24041.357999520955
c2d Poly. Model,[1.2434495386272887e-11, 8.088173301194274],3769.0038935110065,24677.455986373887
