,Model Parameters,Support Loss,Challenge Loss
c2d Exp. Model,[0.07377204756702585, 1.0699518110600514],294.5276128382742,1742.5661274284607
c2d Poly. Model,[0.0001875854800281961, 2.347330237986313],294.5740969873092,1759.1405109445716
