,Model Parameters,Support Loss,Challenge Loss
minic2d Exp. Model,[0.4899238717357476, 0.9995310868725252],34.78744203362925,57.71089724927392
minic2d Poly. Model,[0.5295247925084119, -0.025995133781179902],34.787755482179094,57.67539269142709
