,Model Parameters,Support Loss,Challenge Loss
cachet Exp. Model,[0.019980996536462334, 1.0000210010154205],3.6304840006523933,14.295825031510326
cachet Poly. Model,[0.019933079700509504, 0.0008785262598394183],3.6304844022301075,14.29571205540878
