,Model Parameters,Support Loss,Challenge Loss
minic2d Exp. Model,[0.32182633565332064, 1.0128701595974399],57.13156861130529,213.79516601854127
minic2d Poly. Model,[0.09155991496143182, 0.4792465377120152],57.132989829871946,214.42847773446417
