,Model Parameters,Support Loss,Challenge Loss
cachet Exp. Model,[0.0015109793802280313, 1.2088676924764237],414.8292987463224,1963.8702446199186
cachet Poly. Model,[9.481969025358917e-10, 5.8747959366173745],414.794420845369,2053.8137484887884
