,Model Parameters,Support Loss,Challenge Loss
c2d Exp. Model,[0.3133068191749201, 1.0172574774951593],103.02825795728964,414.64607456457264
c2d Poly. Model,[0.061660683217954156, 0.6256739602617927],103.03360104873205,416.4573074016786
