,Model Parameters,Support Loss,Challenge Loss
cachet Exp. Model,[0.0011105044300675586, 1.2735457691188128],592.169350781039,3380.7745484395796
cachet Poly. Model,[1.8017372414652438e-10, 6.72921208867222],592.6875355494312,3560.485364374653
