,Model Parameters,Support Loss,Challenge Loss
cachet Exp. Model,[0.0006879375606633385, 1.107423427604125],25.715230627163493,91.45748564150429
cachet Poly. Model,[8.082051929735189e-08, 3.551606655244541],25.718603326962956,92.47661637299768
