,Model Parameters,Support Loss,Challenge Loss
minic2d Exp. Model,[0.0048113219179985005, 1.2039676274310025],849.3564911368803,7353.167579170195
minic2d Poly. Model,[4.550824532467734e-09, 5.717683883433438],850.2726286557289,7715.0975985571995
