,Model Parameters,Support Loss,Challenge Loss
cachet Exp. Model,[0.003173879595769155, 1.336789453800789],172.57050369502215,1516.6469732023152
cachet Poly. Model,[9.878728581333074e-07, 4.595673730694244],172.79678773655135,1924.5218653672048
