,14,15,16,17,18,19,20,21,22,23,24,25
# of instances,122.0,201.0,365.0,441.0,508.0,557.0,520.0,588.0,621.0,545.0,347.0,165.0
mean,0.2229508196721311,0.2806965174129352,0.39630136986301373,0.5019727891156461,0.696948818897637,0.912513464991023,1.2559999999999993,1.799421768707484,2.4202737520128843,3.084403669724775,4.236455331412106,5.5095151515151475
Q(0.1),[0.1001728779208559, 0.1001728779208559],[0.12058788996187245, 0.12058788996187245],[0.16065501405900093, 0.16065501405900093],[0.20085845933693444, 0.20085845933693444],[0.29075676951746, 0.29075676951746],[0.38984143992547793, 0.38984143992547793],[0.5406437909320984, 0.5406437909320984],[0.8603948471196003, 0.8603948471196003],[1.1599483240799775, 1.1599483240799775],[1.6305267324427184, 1.6305267324427184],[2.1696338207795516, 2.1696338207795516],[2.9501679904946005, 2.9501679904946005]
Q(0.25),[0.14013354958131208, 0.14013354958131208],[0.16019149150386072, 0.16019149150386072],[0.22017834808317435, 0.22017834808317435],[0.28995174815952013, 0.28995174815952013],[0.42001961406702487, 0.42001961406702487],[0.5501571653626555, 0.5501571653626555],[0.7700451625560607, 0.7700451625560607],[1.0900004511181165, 1.0900004511181165],[1.5600028814396605, 1.5600028814396605],[2.0501701963581747, 2.0501701963581747],[2.820179552748541, 2.820179552748541],[3.8000012015261544, 3.8000012015261544]
median,[0.19960819005109198, 0.19960819005109198],[0.24964899589741021, 0.24964899589741021],[0.3300731751228111, 0.3300731751228111],[0.4399558232888915, 0.4399558232888915],[0.590081935271477, 0.590081935271477],[0.7900050076680756, 0.7900050076680756],[1.0901160394834868, 1.0901160394834868],[1.5200149944007206, 1.5200149944007206],[2.2000033872837466, 2.2000033872837466],[2.7900508093836236, 2.7900508093836236],[3.8600273886946312, 3.8600273886946312],[4.9996179853453775, 4.9996179853453775]
Q(0.75),[0.3002843875158765, 0.3002843875158765],[0.3600547577762476, 0.3600547577762476],[0.4897838772106596, 0.4897838772106596],[0.6302076440484856, 0.6302076440484856],[0.8397607038270999, 0.8397607038270999],[1.0702290828944565, 1.0702290828944565],[1.5500607955362604, 1.5500607955362604],[2.1498632507686444, 2.1498632507686444],[3.029773903337838, 3.029773903337838],[3.8199769730978557, 3.8199769730978557],[5.29031283341634, 5.29031283341634],[6.769999132400342, 6.769999132400342]
Q(0.9),[0.35004617262355997, 0.35004617262355997],[0.4898036889972342, 0.4898036889972342],[0.669997522809542, 0.669997522809542],[0.8899663833811606, 0.8899663833811606],[1.2196575440458055, 1.2196575440458055],[1.5804622704951379, 1.5804622704951379],[2.150108867660077, 2.150108867660077],[3.009659225528966, 3.009659225528966],[3.969992674085943, 3.969992674085943],[4.899543494134183, 4.899543494134183],[6.809268196307163, 6.809268196307163],[8.49955537554421, 8.49955537554421]
