,Exp parameter a,Exp parameter b,Poly parameter a,Poly parameter b
0,4.864623107237657e-05,1.6081185444180037,1.312862376786653e-16,11.970662504182656
1,5.472594849002365e-05,1.6031793432720063,1.8730935467732845e-16,11.87456307185812
2,5.138244919440965e-05,1.60516368519431,1.7003616626961118e-16,11.89370745587621
3,9.224973869546602e-05,1.5681754330416466,1.25120461707841e-15,11.274514825085134
4,5.89192675395645e-05,1.5960655957904748,3.389147617779286e-16,11.678467130755962
5,7.099870459326519e-05,1.5850740152426859,3.0080816765282616e-16,11.718915700625985
6,6.29065408705896e-05,1.5924042808243897,2.5563385556495104e-16,11.76846132919627
7,5.209511183995539e-05,1.6042703210070162,1.4161817706873744e-16,11.94919622530324
8,5.148325218377799e-05,1.6052220446989995,1.0111354931918372e-16,12.054614353914076
9,5.8774281383658185e-05,1.5971932630014143,2.7395633726293496e-16,11.748530472479615
10,7.184195733935042e-05,1.5843250344913,4.762103760899415e-16,11.575280213111
11,5.3463847082171666e-05,1.6037330980383184,1.6876518634652934e-16,11.901462958654065
12,5.7033636202262815e-05,1.597995248754353,1.6088955197353313e-16,11.908288366664692
13,7.168462618169181e-05,1.58480323002304,4.633432630772076e-16,11.586734278645508
14,4.3077911986252475e-05,1.6146856127433638,1.1707238144703333e-16,12.000983907231785
15,4.039019370131391e-05,1.621370142869072,9.662784281626521e-17,12.071576178250325
16,5.3277150061181354e-05,1.6035748746499148,1.3508457532460895e-16,11.967049595629305
17,3.769416141438006e-05,1.6258986481163122,6.392654390626738e-17,12.198287527965476
18,4.304115503377213e-05,1.6171265774247865,8.814758006582289e-17,12.097888505256378
19,5.821480455684311e-05,1.5969816794448004,3.3881006258512003e-16,11.67853847999595
20,6.759922850664189e-05,1.5894829306653366,2.96580253299985e-16,11.728519726742888
21,4.9582785231846675e-05,1.6078331685007339,1.320862391770928e-16,11.973894095352989
22,3.766310026376431e-05,1.6238415613298336,5.4293951236202595e-17,12.24360491155403
23,5.8837518209922794e-05,1.596008191897002,3.460408955529821e-16,11.671841000604218
24,2.618826289324736e-05,1.6488546055585156,1.3379943064012272e-17,12.682775218539973
25,4.478328245085275e-05,1.6151063775411418,2.4823346619486573e-16,11.781904213455618
26,4.013969246027836e-05,1.6212777253912274,5.795431467292548e-17,12.22664496522566
27,3.133615147864485e-05,1.6362260860423912,5.3654574990993824e-17,12.247332787753294
28,5.016240949905208e-05,1.6057929051569788,1.1726113724430747e-16,12.003546446778273
29,2.8957501184071215e-05,1.642484626345389,2.0223903546666573e-17,12.554413331970864
30,2.900583889097246e-05,1.6417507749236713,4.9381702863037014e-17,12.275223235128578
31,3.477161831407353e-05,1.6286505626030428,5.1822442942704143e-17,12.253083571064963
32,7.932310587668916e-05,1.5777030852824812,4.2231208206901356e-16,11.608281431700107
33,7.85066741507421e-05,1.5791363453332745,6.998695888809213e-16,11.458328415263168
34,4.729737221453037e-05,1.6098350434758473,1.427695325126468e-16,11.94564855908834
35,8.478066296687167e-05,1.5746697974203927,6.591265217089403e-16,11.48040094901171
36,4.689949199294401e-05,1.611157551155139,1.2885019632050462e-16,11.979938022929673
37,5.408677069157003e-05,1.6011238180434901,1.3884446247276785e-16,11.952379785352605
38,2.4191250874060688e-05,1.6536933039696815,9.481766754892275e-18,12.787086979592459
39,7.903923722050901e-05,1.579078976843085,5.500137548972785e-16,11.534829413963053
40,4.6555005220735035e-05,1.6122874981670707,1.0464572212959659e-16,12.045019633049378
41,3.472713142287326e-05,1.6308401725860007,3.513754430220174e-17,12.384089944031075
42,5.837176904072947e-05,1.5975349368019236,2.5630903815787577e-16,11.767557539293193
43,2.611782681517989e-05,1.6485450575615417,1.5817817424045464e-17,12.628286144448339
44,3.4150796871696284e-05,1.6310521772405113,6.71570899334796e-17,12.179656205439187
45,1.9766738416745044e-05,1.6664643168611957,5.711734207770703e-18,12.941723327995533
46,3.638741809101292e-05,1.6280255450225587,2.7290202978345417e-17,12.45997997197719
47,5.841789837685672e-05,1.5974811684040557,3.213909192204472e-16,11.700058160906337
48,5.677393329098752e-05,1.5984551806445864,2.48236196295564e-16,11.773009832440493
49,2.7277848700343554e-05,1.6464872764386034,1.3617228551344309e-17,12.677442802797486
50,7.760158933667938e-05,1.5800559309909985,5.058646608829864e-16,11.561194069911835
51,4.979436336783045e-05,1.6071419305500811,1.1438735307374436e-16,12.015649252679395
52,7.514654327880745e-05,1.583019335396928,5.238415644982746e-16,11.554401042241807
53,6.10453391374646e-05,1.5937139272224345,3.459531312203092e-16,11.671914919152186
54,3.905111301241709e-05,1.6235031566848186,9.33265617737186e-17,12.080360420269699
55,6.741378858321294e-05,1.586583947699297,5.430983594702046e-16,11.526461729469702
56,4.0745246714007124e-05,1.619101649784789,7.999129666092321e-17,12.124540359593539
57,5.532156802114797e-05,1.6007264001073889,1.7334325699851945e-16,11.88784521587786
58,6.32523332923395e-05,1.5912272181774667,4.158307115043292e-16,11.612491724451957
59,7.196831864836999e-05,1.5840573140365173,4.217861327072474e-16,11.612173439323215
60,5.638124799557494e-05,1.5989847134285904,1.601750602313502e-16,11.910384732272178
61,5.862119871515433e-05,1.5982150442563516,2.8581445938335417e-16,11.739770840924848
62,5.8238476886048236e-05,1.5979190009214614,3.4437288938115685e-16,11.678287007318886
63,3.365185470836609e-05,1.6327322408179954,3.4080548890369537e-17,12.391843818532834
64,7.352324135314505e-05,1.5821713102655868,5.055811769491873e-16,11.553706158561909
65,6.746271387406834e-05,1.5880379886604956,2.754762082052379e-16,11.74459701343767
66,3.409774100304666e-05,1.632811280819831,2.928027601257382e-17,12.44515698346595
67,3.9948630246398e-05,1.6215770081867982,8.741001559769263e-17,12.099884581247352
68,6.581386506255882e-05,1.5914364857458518,4.32125420063373e-16,11.61475616367261
69,0.00010285865883551877,1.5625380797782968,2.1023215668915787e-15,11.121282970615539
70,7.831709918593063e-05,1.5792031969405695,3.6095074587377053e-16,11.66308290772713
71,7.840386592533694e-05,1.5766857534565033,9.214470342522162e-16,11.363576200855277
72,5.412254908505159e-05,1.6021730090748714,1.1800550957323556e-16,12.006586009616058
73,4.8044349051304485e-05,1.609093202848388,1.4271164812353253e-16,11.945944356406471
74,3.75765192322257e-05,1.6261067727392937,5.4683052299237255e-17,12.247799651132937
75,6.710784946896053e-05,1.5859033154094542,3.8952162621131014e-16,11.625712088466571
76,2.1904423390590107e-05,1.659436014152236,1.4624140935279656e-17,12.651045566190987
77,4.379887946533744e-05,1.6164497723538853,7.644314624445399e-17,12.146702577590986
78,5.742278128788459e-05,1.6003064421204791,2.0589678319938644e-16,11.84611244378084
79,4.1029914762354145e-05,1.620349735884152,6.549288586097308e-17,12.19103424365494
80,7.59591461787358e-05,1.5824851018832804,5.622991304606181e-16,11.533016454916833
81,3.2014604719802054e-05,1.636999770604105,2.5130273965475096e-17,12.493750763182561
82,5.901584867743053e-05,1.5973255354149163,2.3074829117485884e-16,11.803540728371445
83,5.609031039226604e-05,1.6013200025400267,2.3947702552552527e-16,11.796229194385432
84,4.277832977395673e-05,1.6174998122908812,7.991961381527632e-17,12.131966208093218
85,5.45470441856381e-05,1.603342298419242,1.576646048663745e-16,11.927198408429831
86,5.218108202949642e-05,1.6050917618642546,2.233190744102233e-16,11.813614340209824
87,4.491434513120156e-05,1.6148293807367609,2.232330074948233e-16,11.815157182739313
88,7.657823701511371e-05,1.579789690857418,6.302042213646933e-16,11.486489602699749
89,3.707341583179725e-05,1.6269004171511172,4.624696246036547e-17,12.299239562003095
90,4.0799755404922466e-05,1.6206883602556317,7.347609993971733e-17,12.155577556170101
91,5.41355587164956e-05,1.6010767765121743,2.454753853263533e-16,11.776050502730868
92,3.741294442732611e-05,1.624043209319308,8.490387546608273e-17,12.10176367341137
93,2.644723862844566e-05,1.6486201818403226,1.331561425313776e-17,12.685493777041302
94,9.38252030459309e-05,1.567279980780556,9.207729285215905e-16,11.368970107222594
95,5.196007644196357e-05,1.6044464700246315,1.6343202463860564e-16,11.905427768551817
96,7.245084177844435e-05,1.5823671338319998,4.943670287451487e-16,11.557733983889193
97,4.49647446419652e-05,1.6132041994328534,9.472257419784052e-17,12.073284947376123
98,4.039965866979775e-05,1.621728016133049,9.521230166203322e-17,12.077594290648449
99,6.555303914956076e-05,1.5897447956915036,4.683470755748186e-16,11.57999706551277
100,5.319181182851218e-05,1.6019781832228104,3.151168698560765e-16,11.695308972164185
101,4.171808983005556e-05,1.6197387069305356,6.977533234944916e-17,12.174433556248005
102,5.6441480266604234e-05,1.5986029878655634,1.4531505959017058e-16,11.939682731433095
103,3.882002510775372e-05,1.624855806854304,8.552376225146504e-17,12.117613538757269
104,3.291381095087778e-05,1.6343287469503833,5.4690699240420266e-17,12.245770973754588
105,7.97400020916709e-05,1.5766582556351325,5.639152182762762e-16,11.5179063518176
106,5.000402447671105e-05,1.6068799161083867,1.0307680379385433e-16,12.04911838654698
107,2.810832162560111e-05,1.642285828133958,3.262552640970814e-17,12.397966275718318
108,4.170207123775128e-05,1.619219142241911,1.0027705062291054e-16,12.057477161105908
109,4.957327969972422e-05,1.609250436155654,2.72733133457088e-16,11.757045554594242
110,5.7934193997876246e-05,1.5970238079438674,1.710224173627532e-16,11.889093426573709
111,4.175180776923515e-05,1.6189442725628533,9.26082952335647e-17,12.082119605424396
112,6.286026772407322e-05,1.5917582343975945,3.6860434597979253e-16,11.651687008270983
113,3.668707308171746e-05,1.6277706089861599,5.163611653799883e-17,12.265926847692299
114,5.0099524368125e-05,1.6059704548256917,1.5294568044330494e-16,11.9231640432331
115,5.0813296923873255e-05,1.6075663521396375,1.5771359733846118e-16,11.927176758546011
116,3.105178065595299e-05,1.6362448941883532,4.157686083083713e-17,12.324469344489444
117,4.690818923649805e-05,1.6111410407516158,1.3709943421735525e-16,11.95937350613167
118,8.130050346382428e-05,1.5755328626581302,7.038488030464751e-16,11.449065335426894
119,3.11132962952888e-05,1.6388827668384573,2.96203381382503e-17,12.441653688040333
120,5.740458416444699e-05,1.5986953977598715,1.7198135847459775e-16,11.89027395161611
121,3.7430134435728526e-05,1.6240397386989158,8.040168593673078e-17,12.119273154495659
122,5.598160663612744e-05,1.6006626378834037,1.6900391159203413e-16,11.899540156855437
123,4.812468786669515e-05,1.6078379074365787,1.3469882741720369e-16,11.95827621972694
124,4.407442543842137e-05,1.6156857848784307,7.358366064594592e-17,12.155688797842231
125,8.774571390986237e-05,1.571267206628416,8.343009686542262e-16,11.397489258078167
126,6.734979203187934e-05,1.5879519089275815,4.1464672470529413e-16,11.618858290679782
127,5.797503841301468e-05,1.5970122777309983,2.8939119726764135e-16,11.726428779058551
128,2.8365933049329124e-05,1.6443148351253898,1.1878189259658933e-17,12.72060126065844
129,5.248128960584145e-05,1.6044583241366377,1.7946667078356614e-16,11.881214289031732
130,7.999724342110216e-05,1.579158665125363,7.03529304005934e-16,11.462818463076928
131,4.654133076492485e-05,1.612782648497872,1.7677291307290328e-16,11.889576794475943
132,5.45740692238568e-05,1.5997411998608957,1.6364405229490846e-16,11.895762293927874
133,4.192017498321996e-05,1.6197783992971926,6.606921009672111e-17,12.195198413863636
134,5.4029769179335514e-05,1.602280354561663,1.2515387364826622e-16,11.990483732371104
135,4.5083966252073994e-05,1.613049767339884,8.511188638478464e-17,12.10721513936096
136,6.131305635179552e-05,1.5929127446808216,1.9854502979920145e-16,11.839463609707309
137,6.090020395983667e-05,1.59384359042176,3.8786672304020936e-16,11.635428769471446
