,Model Parameters,Support Loss,Challenge Loss
dpmc Exp. Model,[5.220946736992151e-05, 1.604312273485951],4070.0448972668905,75996.93586028935
dpmc Poly. Model,[1.3049143326899696e-16, 11.976047646127881],4074.466150893654,78751.1703721227
