,Model Parameters,Support Loss,Challenge Loss
cachet Exp. Model,[0.01998945772117297, 1.0000120659737401],8.45530889075301,20.210390809748993
cachet Poly. Model,[0.01996348861810371, 0.0004833270013477886],8.455308935053793,20.210331050833062
