,Model Parameters,Support Loss,Challenge Loss
minic2d Exp. Model,[0.5001512330897314, 0.9999939918539139],30.313093758249007,73.47951477140009
minic2d Poly. Model,[0.5004381406346214, -0.00022058026684135257],30.313096935387374,73.47980967269386
