,35,36,37,38,39,40,41,42,43,44,45,46,47,48
# of instances,18.0,42.0,138.0,266.0,406.0,481.0,568.0,596.0,653.0,723.0,637.0,378.0,158.0,32.0
mean,0.49999999999999967,0.4990476190476193,0.5089130434782607,0.5092857142857146,0.5062561576354677,0.5075051975051967,0.5179753521126762,0.5246476510067111,0.5090658499234296,0.5263900414937753,0.5255259026687598,0.5264550264550255,0.5290506329113924,0.5356249999999998
Q(0.1),[0.4494748164624955, 0.4494748164624955],[0.4700794144522769, 0.4700794144522769],[0.4700012514075537, 0.4700012514075537],[0.469956183725741, 0.469956183725741],[0.4699482721940339, 0.4699482721940339],[0.46086196764058257, 0.46086196764058257],[0.46081398120246425, 0.46081398120246425],[0.46036600597651495, 0.46036600597651495],[0.4603076911889468, 0.4603076911889468],[0.4606670525489566, 0.4606670525489566],[0.46060597769581096, 0.46060597769581096],[0.4608791111336795, 0.4608791111336795],[0.46999194384094434, 0.46999194384094434],[0.4705608943340134, 0.4705608943340134]
Q(0.25),[0.48013606366040107, 0.48013606366040107],[0.48000031156433154, 0.48000031156433154],[0.48996637911532903, 0.48996637911532903],[0.48978290197387503, 0.48978290197387503],[0.4801653417266005, 0.4801653417266005],[0.4802355866182676, 0.4802355866182676],[0.48018524066924156, 0.48018524066924156],[0.4800084353144819, 0.4800084353144819],[0.479975460462868, 0.479975460462868],[0.48008902362698236, 0.48008902362698236],[0.4800972052817994, 0.4800972052817994],[0.48016476061701596, 0.48016476061701596],[0.4802056135295517, 0.4802056135295517],[0.49000157419309204, 0.49000157419309204]
median,[0.5001839221396271, 0.5001839221396271],[0.5000801331091876, 0.5000801331091876],[0.5000520089558441, 0.5000520089558441],[0.5000564614894047, 0.5000564614894047],[0.500066901376403, 0.500066901376403],[0.5001570702516853, 0.5001570702516853],[0.5000110041123427, 0.5000110041123427],[0.4999570603934379, 0.4999570603934379],[0.4998672508719386, 0.4998672508719386],[0.5000310761316674, 0.5000310761316674],[0.49999558230560026, 0.49999558230560026],[0.5001568691686992, 0.5001568691686992],[0.5094849165730135, 0.5094849165730135],[0.5000868296432958, 0.5000868296432958]
Q(0.75),[0.5104942717781576, 0.5104942717781576],[0.5100857320795531, 0.5100857320795531],[0.5199987365976907, 0.5199987365976907],[0.520051401353602, 0.520051401353602],[0.5199721533455789, 0.5199721533455789],[0.5200205201520849, 0.5200205201520849],[0.5199689502386782, 0.5199689502386782],[0.5199199091959312, 0.5199199091959312],[0.5199366094454156, 0.5199366094454156],[0.5297183939271984, 0.5297183939271984],[0.5297442742458103, 0.5297442742458103],[0.5396976906176801, 0.5396976906176801],[0.5401591273849745, 0.5401591273849745],[0.5501210329656584, 0.5501210329656584]
Q(0.9),[0.539665788916812, 0.539665788916812],[0.5294981409996539, 0.5294981409996539],[0.559258322025695, 0.559258322025695],[0.549469863630981, 0.549469863630981],[0.5400184660557082, 0.5400184660557082],[0.5492859404762481, 0.5492859404762481],[0.5499027136092526, 0.5499027136092526],[0.5494173115659179, 0.5494173115659179],[0.5594361831687287, 0.5594361831687287],[0.5696335235443821, 0.5696335235443821],[0.5797893668491337, 0.5797893668491337],[0.5901523894552076, 0.5901523894552076],[0.5898102080906106, 0.5898102080906106],[0.5996665479581137, 0.5996665479581137]
