,Model Parameters,Support Loss,Challenge Loss
d4 Exp. Model,[0.0025966745551036724, 1.3506028408841553],8842.95212321723,40235.151359571064
d4 Poly. Model,[8.053725030845086e-12, 8.409765092427278],8847.338416608227,37950.977204952374
