,Model Parameters,Support Loss,Challenge Loss
minic2d Exp. Model,[0.4999262966253427, 1.0000020733544268],26.81307660893829,58.572146514339316
minic2d Poly. Model,[0.499779188927882, 0.00010220484364253934],26.813074331764692,58.572103415014865
