,36,37,38,39,40,41,42,43,44,45,46,47,48,49
# of instances,11.197762750222077,46.65920916740708,135.95938261293742,292.40964278123295,475.02352880131457,619.2148110628837,654.0323621700725,766.369025394134,951.1994972054845,1034.6744827516923,978.637992973135,725.7080414983864,365.0870968379238,100.63213090936529
mean,0.4928318975005084,0.4969627867315296,0.5005891393867046,0.5357374679196028,0.5123639202815866,0.5148326474448481,0.49930232558386933,0.5116962843299007,0.5129299846158801,0.5053972966751985,0.5131925420926677,0.5040501743275598,0.522933278613209,0.49261236941306663
Q(0.1),[0.4604972871725863, 0.4604972871725863],[0.4676929116815387, 0.4676929116815387],[0.4605616526752385, 0.4605616526752385],[0.4700857439122643, 0.4700857439122643],[0.4700083410895104, 0.4700083410895104],[0.46995068609862045, 0.46995068609862045],[0.47007911178167205, 0.47007911178167205],[0.4701859311585963, 0.4701859311585963],[0.4700390421557472, 0.4700390421557472],[0.46532079868058673, 0.46532079868058673],[0.46137598212897046, 0.46137598212897046],[0.469930716175341, 0.469930716175341],[0.4700621296501595, 0.4700621296501595],[0.4606250089480852, 0.4606250089480852]
Q(0.25),[0.4700605504968962, 0.4700605504968962],[0.47466789850533075, 0.47466789850533075],[0.4799112088129789, 0.4799112088129789],[0.48019189590422684, 0.48019189590422684],[0.48026464625695553, 0.48026464625695553],[0.4802242625041373, 0.4802242625041373],[0.480195959598575, 0.480195959598575],[0.4802967097110411, 0.4802967097110411],[0.48014557570161287, 0.48014557570161287],[0.4800504768871292, 0.4800504768871292],[0.47998949385947753, 0.47998949385947753],[0.47997581437783765, 0.47997581437783765],[0.4800809815822049, 0.4800809815822049],[0.4790605812760873, 0.4790605812760873]
median,[0.499946217498632, 0.499946217498632],[0.4998733377536837, 0.4998733377536837],[0.498405756381203, 0.498405756381203],[0.4999273737190677, 0.4999273737190677],[0.4999836378567579, 0.4999836378567579],[0.49998950439972134, 0.49998950439972134],[0.49989126213301915, 0.49989126213301915],[0.49991817540930583, 0.49991817540930583],[0.4999023077170932, 0.4999023077170932],[0.49985208030264516, 0.49985208030264516],[0.4949497933026663, 0.4949497933026663],[0.4949740067083752, 0.4949740067083752],[0.49984772620246076, 0.49984772620246076],[0.49005697913044344, 0.49005697913044344]
Q(0.75),[0.5006491741760897, 0.5006491741760897],[0.5197575978563265, 0.5197575978563265],[0.50989813469306, 0.50989813469306],[0.5148117469042717, 0.5148117469042717],[0.5128629232949606, 0.5128629232949606],[0.5103283038088051, 0.5103283038088051],[0.5100789395512493, 0.5100789395512493],[0.5100478260879697, 0.5100478260879697],[0.5100655422488671, 0.5100655422488671],[0.5100010810733977, 0.5100010810733977],[0.5100257782637527, 0.5100257782637527],[0.50993026812003, 0.50993026812003],[0.5098248735932884, 0.5098248735932884],[0.500257781685022, 0.500257781685022]
Q(0.9),[0.5201881390337917, 0.5201881390337917],[0.5396427481547192, 0.5396427481547192],[0.5302081677352533, 0.5302081677352533],[0.5395682616194506, 0.5395682616194506],[0.5395259518281819, 0.5395259518281819],[0.535105110028752, 0.535105110028752],[0.5297150997199651, 0.5297150997199651],[0.5297446788467823, 0.5297446788467823],[0.5299263732991335, 0.5299263732991335],[0.5296914980627179, 0.5296914980627179],[0.5295488183226666, 0.5295488183226666],[0.5295123085149527, 0.5295123085149527],[0.5227695508310717, 0.5227695508310717],[0.5293757015440121, 0.5293757015440121]
