,Model Parameters,Support Loss,Challenge Loss
minic2d Exp. Model,[0.0022878778552230376, 1.2721402528143757],947.9437493245623,12420.062188117414
minic2d Poly. Model,[4.876539523467263e-10, 6.635026183870195],949.5938862890332,13712.193302802698
