,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
# of instances,38.0,89.0,184.0,274.0,350.0,415.0,476.0,559.0,590.0,571.0,570.0,453.0,333.0,147.0,34.0
mean,1.007368421052632,1.0762921348314596,1.3546195652173911,1.70609489051095,2.1847142857142874,2.835421686746986,3.9686764705882402,5.152951699463331,7.2893898305084806,10.773292469352018,14.03198245614033,20.362185430463562,27.0672972972973,36.00523809523807,54.32970588235295
Q(0.1),[0.6393216215946227, 0.6393216215946227],[0.6398625313035973, 0.6398625313035973],[0.7101180313398904, 0.7101180313398904],[0.9000029871441362, 0.9000029871441362],[1.040639930545598, 1.040639930545598],[1.2097443892459014, 1.2097443892459014],[1.6806518524204972, 1.6806518524204972],[2.190396313280505, 2.190396313280505],[2.7699498343534925, 2.7699498343534925],[4.1906737680281125, 4.1906737680281125],[5.279933567386516, 5.279933567386516],[7.820233085564819, 7.820233085564819],[10.490224920262206, 10.490224920262206],[13.180669710260089, 13.180669710260089],[22.470333333536733, 22.470333333536733]
Q(0.25),[0.750139157151441, 0.750139157151441],[0.8000078836397824, 0.8000078836397824],[0.909908187275526, 0.909908187275526],[1.1098075405917727, 1.1098075405917727],[1.2799888291519723, 1.2799888291519723],[1.6602679309332553, 1.6602679309332553],[2.3001385631974904, 2.3001385631974904],[2.8797819757313463, 2.8797819757313463],[3.9595829162658256, 3.9595829162658256],[5.790068533547181, 5.790068533547181],[8.210145047724597, 8.210145047724597],[11.550001219464582, 11.550001219464582],[14.370000295908858, 14.370000295908858],[20.050697507420836, 20.050697507420836],[30.76013335059773, 30.76013335059773]
median,[0.8796714018035453, 0.8796714018035453],[0.969612180448881, 0.969612180448881],[1.2201042614892388, 1.2201042614892388],[1.4400090262566392, 1.4400090262566392],[1.9300702101651999, 1.9300702101651999],[2.410003654455053, 2.410003654455053],[3.2498814303386547, 3.2498814303386547],[4.240026840043892, 4.240026840043892],[5.879781270178761, 5.879781270178761],[9.010023660467654, 9.010023660467654],[12.200000289081947, 12.200000289081947],[17.340005210080143, 17.340005210080143],[21.970004822770825, 21.970004822770825],[31.96000003377952, 31.96000003377952],[51.02065843005638, 51.02065843005638]
Q(0.75),[0.9800707891692215, 0.9800707891692215],[1.1899914151593847, 1.1899914151593847],[1.5699539690940332, 1.5699539690940332],[1.9598421601133926, 1.9598421601133926],[2.649225836947214, 2.649225836947214],[3.3703647843546958, 3.3703647843546958],[4.780129037287755, 4.780129037287755],[6.429931681723482, 6.429931681723482],[9.189865150292897, 9.189865150292897],[13.18078045568034, 13.18078045568034],[17.47986260406577, 17.47986260406577],[25.179999215570692, 25.179999215570692],[33.51999903661589, 33.51999903661589],[43.86909617714895, 43.86909617714895],[63.949866642393935, 63.949866642393935]
Q(0.9),[1.1407405036143936, 1.1407405036143936],[1.4701860742353887, 1.4701860742353887],[2.219652399005683, 2.219652399005683],[2.699658960842436, 2.699658960842436],[3.6500666773415933, 3.6500666773415933],[5.0798294361578105, 5.0798294361578105],[7.429414550266616, 7.429414550266616],[9.170323155673076, 9.170323155673076],[13.100104491638037, 13.100104491638037],[19.5999994088081, 19.5999994088081],[24.46009099443318, 24.46009099443318],[36.46977740609753, 36.46977740609753],[50.44977597480674, 50.44977597480674],[62.229333201161126, 62.229333201161126],[97.04966666660385, 97.04966666660385]
