,Model Parameters,Support Loss,Challenge Loss
d4 Exp. Model,[0.0025698723843070393, 1.2868267947747272],5848.103738756743,29980.4893058699
d4 Poly. Model,[2.060966499159343e-11, 7.708094713044375],5846.932787206806,31119.711269354208
