,Model Parameters,Support Loss,Challenge Loss
d4 Exp. Model,[0.0013422647107186104, 1.246095996792143],1893.3125812293592,13566.07409621115
d4 Poly. Model,[1.575322763782751e-11, 7.30144405983242],1893.268075864978,13931.129937416737
