,10,11,12,13,14,15,16,17,18
# of instances,213.0,368.0,499.0,579.0,651.0,667.0,644.0,620.0,416.0
mean,0.38901408450704256,0.4309782608695649,0.48198396793587217,0.594801381692573,0.7437173579109052,1.0429985007496239,1.5777018633540367,2.325112903225805,3.3943990384615392
Q(0.1),[0.3406268906959734, 0.3406268906959734],[0.3699606739341556, 0.3699606739341556],[0.4005409055151453, 0.4005409055151453],[0.4605408738092735, 0.4605408738092735],[0.5504932335373767, 0.5504932335373767],[0.7100502388904539, 0.7100502388904539],[0.9398053290217234, 0.9398053290217234],[1.3704810493536097, 1.3704810493536097],[1.8211362721238402, 1.8211362721238402]
Q(0.25),[0.3601270668817855, 0.3601270668817855],[0.39002908086607985, 0.39002908086607985],[0.43025460677555954, 0.43025460677555954],[0.5001114205767295, 0.5001114205767295],[0.6198415866156529, 0.6198415866156529],[0.8001946564075314, 0.8001946564075314],[1.1604307574120722, 1.1604307574120722],[1.7102373726087245, 1.7102373726087245],[2.2900501114517864, 2.2900501114517864]
median,[0.3800734189169589, 0.3800734189169589],[0.41999283673837184, 0.41999283673837184],[0.47004729824931557, 0.47004729824931557],[0.559898554323318, 0.559898554323318],[0.7098775616594014, 0.7098775616594014],[0.9799750542539348, 0.9799750542539348],[1.469782617065622, 1.469782617065622],[2.1396913904447032, 2.1396913904447032],[3.090002406668152, 3.090002406668152]
Q(0.75),[0.4098027151384689, 0.4098027151384689],[0.4500733691844883, 0.4500733691844883],[0.5199032532007312, 0.5199032532007312],[0.6302194164970248, 0.6302194164970248],[0.829997879166337, 0.829997879166337],[1.2200094736033165, 1.2200094736033165],[1.819725061150751, 1.819725061150751],[2.6999992853780794, 2.6999992853780794],[4.089777083963504, 4.089777083963504]
Q(0.9),[0.439598335039196, 0.439598335039196],[0.4993407321115647, 0.4993407321115647],[0.5796744930519736, 0.5796744930519736],[0.7101160704731027, 0.7101160704731027],[0.9692359610773651, 0.9692359610773651],[1.4595093797065917, 1.4595093797065917],[2.3995579587787255, 2.3995579587787255],[3.4795454992918406, 3.4795454992918406],[5.249423845546575, 5.249423845546575]
