,Model Parameters,Support Loss,Challenge Loss
c2d Exp. Model,[0.130214211797891, 1.1156118270220412],57.744717377722424,2153.239241110275
c2d Poly. Model,[0.026371937236823413, 1.169901669198211],58.68168355836867,2297.3352842640284
