,Model Parameters,Support Loss,Challenge Loss
minic2d Exp. Model,[0.026231184070781975, 1.1123662554097968],347.9470776030616,3229.190422099326
minic2d Poly. Model,[5.986703169657707e-06, 3.4046327425182312],348.17325219473224,3329.102253762315
