,Model Parameters,Support Loss,Challenge Loss
d4 Exp. Model,[0.0032879084450275695, 1.4567796395813],3452.4900820810158,41553.61312862012
d4 Poly. Model,[8.682126400513285e-10, 7.575845608386999],3456.4196404802256,36115.56864691747
