,18,19,20,21,22,23,24,25,26,27,28,29
# of instances,107.0,199.0,274.0,396.0,432.0,464.0,509.0,562.0,557.0,503.0,335.0,145.0
mean,4.054579439252338,4.797939698492463,7.395912408759122,10.712601010101011,16.05939814814813,21.406357758620697,31.485186640471564,44.714448398576494,58.67757630161586,77.72019880715706,98.3192238805971,118.41020689655171
Q(0.1),[1.5417310946207354, 1.5417310946207354],[1.549814697899837, 1.549814697899837],[2.6106701839672914, 2.6106701839672914],[3.8905687381684837, 3.8905687381684837],[5.950114110899723, 5.950114110899723],[8.540336167257056, 8.540336167257056],[12.20966341861599, 12.20966341861599],[17.54011523509889, 17.54011523509889],[25.25068132057992, 25.25068132057992],[38.610222306327515, 38.610222306327515],[51.38044536076723, 51.38044536076723],[62.71044445086113, 62.71044445086113]
Q(0.25),[2.08077240810241, 2.08077240810241],[2.5793303009093345, 2.5793303009093345],[3.990000873752346, 3.990000873752346],[5.889854669416953, 5.889854669416953],[8.43987719057086, 8.43987719057086],[11.949867780577474, 11.949867780577474],[17.350000676803326, 17.350000676803326],[24.83013511186524, 24.83013511186524],[35.36000042239479, 35.36000042239479],[52.139293167785205, 52.139293167785205],[69.85072328506963, 69.85072328506963],[87.4800000972266, 87.4800000972266]
median,[3.210002095213963, 3.210002095213963],[3.9700098524966294, 3.9700098524966294],[5.9597269099029315, 5.9597269099029315],[8.549886232068943, 8.549886232068943],[13.149668089321674, 13.149668089321674],[17.439508305572463, 17.439508305572463],[26.890002091062186, 26.890002091062186],[37.879719490103575, 37.879719490103575],[52.139824512590096, 52.139824512590096],[72.16000021588502, 72.16000021588502],[92.38000247081591, 92.38000247081591],[109.27000017100633, 109.27000017100633]
Q(0.75),[5.29928286694771, 5.29928286694771],[6.110664085098799, 6.110664085098799],[9.399858862817231, 9.399858862817231],[13.270126984493139, 13.270126984493139],[20.510132701382656, 20.510132701382656],[27.52013277177355, 27.52013277177355],[39.87999731255821, 39.87999731255821],[57.56999999304124, 57.56999999304124],[73.34999833076677, 73.34999833076677],[97.98942506165244, 97.98942506165244],[118.77928412046197, 118.77928412046197],[129.00999999490392, 129.00999999490392]
Q(0.9),[7.439328312238665, 7.439328312238665],[9.010369993248256, 9.010369993248256],[13.259666236686623, 13.259666236686623],[20.019439007728078, 20.019439007728078],[29.659888726018593, 29.659888726018593],[38.64966652717742, 38.64966652717742],[54.64042583649761, 54.64042583649761],[80.20988881224451, 80.20988881224451],[106.18933305328315, 106.18933305328315],[124.26977728326538, 124.26977728326538],[138.18955320853212, 138.18955320853212],[139.40955551607416, 139.40955551607416]
