,Model Parameters,Support Loss,Challenge Loss
dpmc Exp. Model,[2.5149147893303157e-05, 1.7071561635764432],996.8182124639329,34161.040461738325
dpmc Poly. Model,[1.564487746397977e-15, 11.41576557044209],996.9416031088757,38394.26243861529
