,Model Parameters,Support Loss,Challenge Loss
d4 Exp. Model,[0.0003782517268434852, 1.2277660570613902],573.4556216559648,3382.2984852550653
d4 Poly. Model,[4.189152130557594e-12, 7.175668646839313],573.5051758259257,3404.841511912323
