,Model Parameters,Support Loss,Challenge Loss
minic2d Exp. Model,[0.11320576048737757, 1.048799870203853],136.23811952600164,814.0478411637727
minic2d Poly. Model,[0.002046502660585483, 1.5978169331972367],136.2828783393669,827.1883572987714
