,Model Parameters,Support Loss,Challenge Loss
minic2d Exp. Model,[0.09412462422204113, 1.100576574939335],56.36926230555926,2159.030350767751
minic2d Poly. Model,[0.007751201919210462, 1.4562296932080017],56.95726461979067,2282.727212044969
