,14,15,16,17,18,19,20,21,22,23,24,25
# of instances,122.0,201.0,365.0,441.0,508.0,557.0,520.0,588.0,621.0,545.0,347.0,165.0
mean,0.3741803278688523,0.39552238805970147,0.4283013698630137,0.5042176870748296,0.5858267716535431,0.7113644524236987,0.9269038461538469,1.2838605442176867,1.8242673107890501,2.5473211009174306,3.877002881844384,5.611151515151512
Q(0.1),[0.33068985306283943, 0.33068985306283943],[0.35049682189892595, 0.35049682189892595],[0.37998389672073124, 0.37998389672073124],[0.40077200020919834, 0.40077200020919834],[0.459883627559913, 0.459883627559913],[0.5209123574559937, 0.5209123574559937],[0.6107269745158779, 0.6107269745158779],[0.8098666770471092, 0.8098666770471092],[1.07031802466171, 1.07031802466171],[1.3707626595913736, 1.3707626595913736],[2.0698137454013708, 2.0698137454013708],[2.790447460157665, 2.790447460157665]
Q(0.25),[0.35007627286277404, 0.35007627286277404],[0.3698935376175718, 0.3698935376175718],[0.39032843856669974, 0.39032843856669974],[0.43010199570489166, 0.43010199570489166],[0.4903310811380601, 0.4903310811380601],[0.590142152236657, 0.590142152236657],[0.7003280652803457, 0.7003280652803457],[0.9301142440845035, 0.9301142440845035],[1.260222380126548, 1.260222380126548],[1.7499768838884466, 1.7499768838884466],[2.6896802059782328, 2.6896802059782328],[4.000001359415436, 4.000001359415436]
median,[0.36998200337389175, 0.36998200337389175],[0.39000031841977495, 0.39000031841977495],[0.42000010762428297, 0.42000010762428297],[0.47010023317273836, 0.47010023317273836],[0.5400424748647311, 0.5400424748647311],[0.6700056619946688, 0.6700056619946688],[0.830091876170035, 0.830091876170035],[1.1298172447823178, 1.1298172447823178],[1.6297385047361508, 1.6297385047361508],[2.2899488379909236, 2.2899488379909236],[3.5501944370090244, 3.5501944370090244],[5.0300037591445, 5.0300037591445]
Q(0.75),[0.38996068049181093, 0.38996068049181093],[0.4198565798208301, 0.4198565798208301],[0.4597090547306747, 0.4597090547306747],[0.5201453662032454, 0.5201453662032454],[0.60988823092202, 0.60988823092202],[0.7698569390617765, 0.7698569390617765],[1.0102194924356884, 1.0102194924356884],[1.439799576980951, 1.439799576980951],[2.109978130887232, 2.109978130887232],[2.9999812511317434, 2.9999812511317434],[4.620012518248074, 4.620012518248074],[6.549998609694647, 6.549998609694647]
Q(0.9),[0.4199787334342682, 0.4199787334342682],[0.4397664482685359, 0.4397664482685359],[0.4897248033265478, 0.4897248033265478],[0.5792326336089382, 0.5792326336089382],[0.6901161037717174, 0.6901161037717174],[0.9097237206854196, 0.9097237206854196],[1.2100848081516793, 1.2100848081516793],[1.7702147861422362, 1.7702147861422362],[2.8000207197034195, 2.8000207197034195],[3.899521795802454, 3.899521795802454],[5.83931235024099, 5.83931235024099],[8.749553444753602, 8.749553444753602]
