,Model Parameters,Support Loss,Challenge Loss
cachet Exp. Model,[0.0006516994842977182, 1.1891408219810753],151.307518407695,871.1500514862798
cachet Poly. Model,[4.247513578760297e-10, 5.711556170061385],151.3246237508791,899.8083802342342
