,Model Parameters,Support Loss,Challenge Loss
dpmc Exp. Model,[0.0002779291866273821, 1.3293242405676926],5569.400933327736,46618.25744463196
dpmc Poly. Model,[1.7037296737175986e-15, 10.066349472090224],5569.803973783791,47009.831520435204
