,Percent Strongly Consistent,Percent Weakly Consistent,Percent above intervals,Percent below intervals,Percent Strongly Consistent (larger half),Percent Weakly Consistent (larger half),Percent above intervals (larger half),Percent below intervals (larger half)
Exp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
