,Model Parameters,Support Loss,Challenge Loss
dpmc Exp. Model,[3.8787296765081394e-05, 1.3159460241326575],2627.656876662192,25350.302362509865
dpmc Poly. Model,[4.011697483859234e-18, 11.08472300413996],2628.4349555500285,25500.079799359395
