,36,37,38,39,40,41,42,43,44,45,46,47,48,49
# of instances,11.197762750222077,46.65920916740708,135.95938261293742,292.40964278123295,475.02352880131457,619.2148110628837,654.0323621700725,766.369025394134,951.1994972054845,1034.6744827516923,978.637992973135,725.7080414983864,365.0870968379238,100.63213090936529
mean,1.4724868025471096,1.7616831997057147,2.2779527637811725,2.7240686046308156,3.8375185313852853,5.034915070716465,6.602003577848336,9.953780290106351,14.575922915304545,18.844125107113996,26.38643912743646,29.4455198044825,32.281584707219736,43.171952103146396
Q(0.1),[0.6304953602675596, 0.6304953602675596],[0.3723514377062429, 0.3723514377062429],[0.5203098833511888, 0.5203098833511888],[0.5005806012284353, 0.5005806012284353],[0.7800809500413379, 0.7800809500413379],[0.9700304152091803, 0.9700304152091803],[1.2398265632260745, 1.2398265632260745],[1.6598254016369083, 1.6598254016369083],[2.4127480324273165, 2.4127480324273165],[3.2398858988944994, 3.2398858988944994],[4.499541660585919, 4.499541660585919],[5.629815539190304, 5.629815539190304],[7.300366240597214, 7.300366240597214],[9.360607431343396, 9.360607431343396]
Q(0.25),[0.8678925466663259, 0.8678925466663259],[0.6099058122072449, 0.6099058122072449],[0.8048536601811662, 0.8048536601811662],[0.9900411680159351, 0.9900411680159351],[1.2099250851606485, 1.2099250851606485],[1.61018853125006, 1.61018853125006],[2.0597621663656582, 2.0597621663656582],[3.0597689556334444, 3.0597689556334444],[3.9899090306098515, 3.9899090306098515],[5.3999555877626335, 5.3999555877626335],[7.045103872086202, 7.045103872086202],[9.109942311054056, 9.109942311054056],[11.448804777566693, 11.448804777566693],[14.480194539821241, 14.480194539821241]
median,[1.7497847993506639, 1.7497847993506639],[1.5498912902627922, 1.5498912902627922],[1.6600008444460173, 1.6600008444460173],[1.8441951967039358, 1.8441951967039358],[2.1600241208288935, 2.1600241208288935],[2.919776002717299, 2.919776002717299],[4.230013630597114, 4.230013630597114],[5.820010929413911, 5.820010929413911],[7.35988244508917, 7.35988244508917],[9.77979706419228, 9.77979706419228],[12.969855182986066, 12.969855182986066],[16.20995570518062, 16.20995570518062],[20.739914763144043, 20.739914763144043],[28.54989181835117, 28.54989181835117]
Q(0.75),[2.0299387819379717, 2.0299387819379717],[2.139672453991807, 2.139672453991807],[2.8593444026312227, 2.8593444026312227],[3.5701327596475494, 3.5701327596475494],[4.530366834281267, 4.530366834281267],[5.300244776047265, 5.300244776047265],[7.080307495143643, 7.080307495143643],[11.278983727814193, 11.278983727814193],[14.789983282698813, 14.789983282698813],[19.360205033543252, 19.360205033543252],[26.820112556354616, 26.820112556354616],[31.309823668560057, 31.309823668560057],[35.84981786797289, 35.84981786797289],[63.119805313705, 63.119805313705]
Q(0.9),[2.0995512643130496, 2.0995512643130496],[4.717638048134177, 4.717638048134177],[5.65889431946016, 5.65889431946016],[6.019426274139732, 6.019426274139732],[8.820021574223574, 8.820021574223574],[10.73847277218033, 10.73847277218033],[13.55474050641351, 13.55474050641351],[21.99091937241701, 21.99091937241701],[27.579602812649682, 27.579602812649682],[38.56976731795294, 38.56976731795294],[54.409958799944434, 54.409958799944434],[64.33843828780664, 64.33843828780664],[68.64995680353604, 68.64995680353604],[107.45939343418286, 107.45939343418286]
