prop_equal,clause_factor,repetitiveness,sat,algorithm,treewidth,num_variables,prop_deterministic,answer,instance,time,literal_factor
0.49,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.49-2,70.7,3
0.46,2.2,0,,cachet,36,70,0,1.59869e-07,70-2.2-3-0-0-0.46-45,3.91,3
0.34,2.2,0,,dpmc,36,70,0,3.57206e-10,70-2.2-3-0-0-0.34-68,256.26,3
0.45,2.2,0,,cachet,36,70,0,1.64059e-09,70-2.2-3-0-0-0.45-49,8.16,3
0.8,2.2,0,,c2d,34,70,0,4.981223e-10,70-2.2-3-0-0-0.8-65,22.28,3
0.59,2.2,0,,d4,35,70,0,2.267917e-11,70-2.2-3-0-0-0.59-2,99.34,3
0.73,2.2,0,,dpmc,35,70,0,1.84006e-09,70-2.2-3-0-0-0.73-90,149.5,3
0.26,2.2,0,,dpmc,34,70,0,1.40592e-08,70-2.2-3-0-0-0.26-5,285.89,3
0.01,2.2,0,,d4,37,70,0,,70-2.2-3-0-0-0.01-80,443.82,3
0.96,2.2,0,,dpmc,36,70,0,3.67334e-10,70-2.2-3-0-0-0.96-96,65.0,3
0.42,2.2,0,,c2d,35,70,0,1.897923e-10,70-2.2-3-0-0-0.42-82,84.28,3
0.99,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.99-70,518.98,3
0.89,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.89-64,22.13,3
0.54,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.54-41,21.22,3
0.45,2.2,0,,c2d,35,70,0,4.759526e-11,70-2.2-3-0-0-0.45-19,38.63,3
0.63,2.2,0,,dpmc,37,70,0,1.30264e-11,70-2.2-3-0-0-0.63-46,204.0,3
0.23,2.2,0,,c2d,34,70,0,4.365096e-10,70-2.2-3-0-0-0.23-81,50.11,3
0.23,2.2,0,,c2d,33,70,0,1.333451e-11,70-2.2-3-0-0-0.23-60,49.13,3
0.41,2.2,0,,cachet,35,70,0,5.88201e-13,70-2.2-3-0-0-0.41-40,4.1,3
0.21,2.2,0,,c2d,37,70,0,,70-2.2-3-0-0-0.21-71,417.75,3
0.23,2.2,0,,c2d,37,70,0,1.329446e-10,70-2.2-3-0-0-0.23-52,52.08,3
0.04,2.2,0,,c2d,36,70,0,1.048581e-13,70-2.2-3-0-0-0.04-63,111.21000000000001,3
0.71,2.2,0,,dpmc,38,70,0,7.44888e-10,70-2.2-3-0-0-0.71-17,184.27,3
0.18,2.2,0,,dpmc,34,70,0,1.96804e-10,70-2.2-3-0-0-0.18-76,85.06,3
0.07,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.07-73,7.61,3
0.26,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.26-84,16.65,3
0.04,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.04-70,67.24,3
0.96,2.2,0,,c2d,32,70,0,2.281959e-10,70-2.2-3-0-0-0.96-7,12.98,3
0.54,2.2,0,,d4,35,70,0,7.083285e-11,70-2.2-3-0-0-0.54-58,61.93,3
0.34,2.2,0,,dpmc,36,70,0,0,70-2.2-3-0-0-0.34-40,224.64,3
0.18,2.2,0,,d4,35,70,0,9.127129e-14,70-2.2-3-0-0-0.18-56,26.09,3
0.44,2.2,0,,c2d,36,70,0,2.715933e-10,70-2.2-3-0-0-0.44-3,99.27000000000001,3
0.75,2.2,0,,c2d,34,70,0,4.913606e-11,70-2.2-3-0-0-0.75-9,35.63,3
0.63,2.2,0,,cachet,35,70,0,5.61846e-10,70-2.2-3-0-0-0.63-36,5.34,3
0.93,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.93-100,666.97,3
0.11,2.2,0,,c2d,36,70,0,,70-2.2-3-0-0-0.11-51,197.14,3
0.54,2.2,0,,c2d,35,70,0,4.744751e-11,70-2.2-3-0-0-0.54-87,34.92,3
0.6,2.2,0,,dpmc,35,70,0,3.07646e-09,70-2.2-3-0-0-0.6-25,224.88,3
0.09,2.2,0,,cachet,36,70,0,1.34274e-10,70-2.2-3-0-0-0.09-66,6.96,3
0.55,2.2,0,,c2d,36,70,0,8.93036e-12,70-2.2-3-0-0-0.55-79,75.22,3
0.1,2.2,0,,c2d,37,70,0,6.892849e-12,70-2.2-3-0-0-0.1-4,94.58,3
0.78,2.2,0,,d4,36,70,0,1.94277e-11,70-2.2-3-0-0-0.78-22,105.24000000000001,3
0.24,2.2,0,,dpmc,35,70,0,1.11273e-10,70-2.2-3-0-0-0.24-55,171.13,3
0.7,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.7-27,295.46,3
0.05,2.2,0,,d4,37,70,0,,70-2.2-3-0-0-0.05-13,230.39,3
0.9,2.2,0,,dpmc,36,70,0,1.28708e-10,70-2.2-3-0-0-0.9-82,132.42,3
0.31,2.2,0,,dpmc,36,70,0,2.64006e-10,70-2.2-3-0-0-0.31-48,410.71,3
0.09,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.09-13,281.45,3
0.41,2.2,0,,minic2d,38,70,0,0.0,70-2.2-3-0-0-0.41-11,22.69,3
0.7,2.2,0,,d4,36,70,0,1.845596e-10,70-2.2-3-0-0-0.7-34,112.02000000000001,3
0.5,2.2,0,,cachet,36,70,0,5.3466e-11,70-2.2-3-0-0-0.5-22,8.49,3
0.68,2.2,0,,d4,36,70,0,1.569634e-09,70-2.2-3-0-0-0.68-17,107.96000000000001,3
0.63,2.2,0,,c2d,35,70,0,2.523686e-11,70-2.2-3-0-0-0.63-84,25.25,3
0.13,2.2,0,,dpmc,35,70,0,7.45161e-10,70-2.2-3-0-0-0.13-62,121.48,3
0.27,2.2,0,,c2d,36,70,0,6.905825e-13,70-2.2-3-0-0-0.27-33,50.55,3
0.56,2.2,0,,dpmc,37,70,0,,70-2.2-3-0-0-0.56-70,500.57,3
0.23,2.2,0,,dpmc,37,70,0,,70-2.2-3-0-0-0.23-97,500.63,3
0.13,2.2,0,,c2d,36,70,0,4.867132e-13,70-2.2-3-0-0-0.13-2,45.44,3
0.32,2.2,0,,c2d,36,70,0,6.87563e-12,70-2.2-3-0-0-0.32-1,82.28,3
0.86,2.2,0,,dpmc,34,70,0,1.11869e-09,70-2.2-3-0-0-0.86-94,133.64,3
0.58,2.2,0,,d4,35,70,0,4.018235e-09,70-2.2-3-0-0-0.58-65,37.34,3
0.54,2.2,0,,minic2d,33,70,0,0.0,70-2.2-3-0-0-0.54-100,18.19,3
0.59,2.2,0,,cachet,38,70,0,6.54298e-11,70-2.2-3-0-0-0.59-89,8.0,3
0.67,2.2,0,,c2d,35,70,0,8.788376e-09,70-2.2-3-0-0-0.67-60,82.08,3
0.83,2.2,0,,c2d,36,70,0,7.412397e-10,70-2.2-3-0-0-0.83-94,54.43,3
0.68,2.2,0,,cachet,37,70,0,7.40907e-09,70-2.2-3-0-0-0.68-38,15.46,3
0.93,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.93-22,12.53,3
0.01,2.2,0,,dpmc,37,70,0,6.14407e-11,70-2.2-3-0-0-0.01-80,494.1,3
0.68,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.68-43,8.71,3
0.78,2.2,0,,c2d,37,70,0,,70-2.2-3-0-0-0.78-75,191.33,3
0.37,2.2,0,,d4,36,70,0,2.447108e-11,70-2.2-3-0-0-0.37-92,102.16,3
0.97,2.2,0,,c2d,33,70,0,8.768844e-11,70-2.2-3-0-0-0.97-98,36.59,3
0.39,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.39-86,242.53,3
0.43,2.2,0,,d4,36,70,0,4.069871e-09,70-2.2-3-0-0-0.43-6,124.69,3
0.77,2.2,0,,minic2d,37,70,0,0.0,70-2.2-3-0-0-0.77-24,32.03,3
0.5,2.2,0,,d4,35,70,0,,70-2.2-3-0-0-0.5-95,342.78,3
0.76,2.2,0,,c2d,36,70,0,2.191607e-10,70-2.2-3-0-0-0.76-22,92.4,3
0.76,2.2,0,,cachet,35,70,0,3.56886e-09,70-2.2-3-0-0-0.76-18,9.79,3
0.95,2.2,0,,cachet,36,70,0,5.62287e-10,70-2.2-3-0-0-0.95-36,7.48,3
0.56,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.56-1,48.72,3
0.47,2.2,0,,dpmc,36,70,0,1.00634e-11,70-2.2-3-0-0-0.47-69,100.18,3
0.63,2.2,0,,d4,35,70,0,2.57475e-11,70-2.2-3-0-0-0.63-80,41.21,3
0.95,2.2,0,,dpmc,36,70,0,2.65035e-09,70-2.2-3-0-0-0.95-79,136.4,3
0.82,2.2,0,,c2d,36,70,0,2.110103e-10,70-2.2-3-0-0-0.82-8,75.62,3
0.21,2.2,0,,d4,35,70,0,5.635266e-12,70-2.2-3-0-0-0.21-93,119.3,3
0.29,2.2,0,,dpmc,34,70,0,,70-2.2-3-0-0-0.29-27,500.5,3
0.24,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.24-66,28.47,3
0.19,2.2,0,,cachet,34,70,0,1.52072e-10,70-2.2-3-0-0-0.19-25,2.6,3
0.06,2.2,0,,d4,39,70,0,1.186411e-11,70-2.2-3-0-0-0.06-43,129.17,3
0.7,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.7-25,5.62,3
0.37,2.2,0,,c2d,33,70,0,1.986597e-10,70-2.2-3-0-0-0.37-72,52.8,3
0.18,2.2,0,,c2d,35,70,0,2.028123e-10,70-2.2-3-0-0-0.18-13,42.51,3
0.75,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.75-91,6.54,3
0.59,2.2,0,,minic2d,38,70,0,0.0,70-2.2-3-0-0-0.59-54,12.43,3
0.94,2.2,0,,cachet,36,70,0,1.52654e-09,70-2.2-3-0-0-0.94-51,9.34,3
0.44,2.2,0,,dpmc,34,70,0,4.91067e-11,70-2.2-3-0-0-0.44-61,121.1,3
0.68,2.2,0,,c2d,37,70,0,8.734802e-11,70-2.2-3-0-0-0.68-73,9.21,3
0.36,2.2,0,,c2d,34,70,0,,70-2.2-3-0-0-0.36-61,342.86,3
0.32,2.2,0,,minic2d,37,70,0,0.0,70-2.2-3-0-0-0.32-69,12.85,3
0.09,2.2,0,,c2d,35,70,0,4.069326e-13,70-2.2-3-0-0-0.09-51,60.29,3
0.78,2.2,0,,d4,39,70,0,,70-2.2-3-0-0-0.78-34,430.38,3
0.44,2.2,0,,dpmc,37,70,0,7.22473e-11,70-2.2-3-0-0-0.44-84,290.57,3
0.96,2.2,0,,dpmc,35,70,0,3.24684e-09,70-2.2-3-0-0-0.96-26,60.62,3
0.84,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.84-47,30.44,3
0.88,2.2,0,,d4,34,70,0,,70-2.2-3-0-0-0.88-46,301.33,3
0.37,2.2,0,,minic2d,37,70,0,0.0,70-2.2-3-0-0-0.37-36,35.13,3
0.51,2.2,0,,dpmc,36,70,0,,70-2.2-3-0-0-0.51-18,500.36,3
0.44,2.2,0,,cachet,34,70,0,1.52418e-10,70-2.2-3-0-0-0.44-86,3.7,3
0.11,2.2,0,,cachet,36,70,0,5.65948e-10,70-2.2-3-0-0-0.11-87,12.11,3
0.49,2.2,0,,dpmc,36,70,0,,70-2.2-3-0-0-0.49-42,500.34,3
0.71,2.2,0,,cachet,37,70,0,2.4457e-10,70-2.2-3-0-0-0.71-27,10.72,3
0.11,2.2,0,,minic2d,33,70,0,0.0,70-2.2-3-0-0-0.11-66,7.06,3
0.4,2.2,0,,c2d,35,70,0,3.895466e-11,70-2.2-3-0-0-0.4-51,91.02,3
0.33,2.2,0,,dpmc,33,70,0,1.46891e-12,70-2.2-3-0-0-0.33-20,128.43,3
0.59,2.2,0,,cachet,37,70,0,2.06657e-10,70-2.2-3-0-0-0.59-62,16.81,3
0.5,2.2,0,,minic2d,34,70,0,0.0,70-2.2-3-0-0-0.5-93,11.68,3
0.0,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.0-7,43.08,3
0.92,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.92-89,13.9,3
0.89,2.2,0,,d4,37,70,0,,70-2.2-3-0-0-0.89-42,263.63,3
0.22,2.2,0,,minic2d,37,70,0,0.0,70-2.2-3-0-0-0.22-14,39.86,3
0.13,2.2,0,,d4,38,70,0,,70-2.2-3-0-0-0.13-60,281.93,3
0.86,2.2,0,,d4,34,70,0,1.713721e-09,70-2.2-3-0-0-0.86-69,51.06,3
0.08,2.2,0,,dpmc,37,70,0,,70-2.2-3-0-0-0.08-32,369.01,3
0.32,2.2,0,,cachet,38,70,0,3.75991e-11,70-2.2-3-0-0-0.32-19,8.44,3
0.87,2.2,0,,dpmc,34,70,0,6.33747e-11,70-2.2-3-0-0-0.87-83,154.24,3
0.74,2.2,0,,d4,34,70,0,,70-2.2-3-0-0-0.74-2,263.12,3
0.5,2.2,0,,cachet,35,70,0,4.71466e-12,70-2.2-3-0-0-0.5-69,3.62,3
0.27,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.27-71,19.38,3
0.59,2.2,0,,minic2d,34,70,0,0.0,70-2.2-3-0-0-0.59-57,41.51,3
0.98,2.2,0,,cachet,36,70,0,3.69445e-09,70-2.2-3-0-0-0.98-92,8.29,3
0.39,2.2,0,,cachet,35,70,0,2.39854e-10,70-2.2-3-0-0-0.39-63,8.49,3
0.38,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.38-30,23.59,3
0.97,2.2,0,,d4,33,70,0,9.603268e-09,70-2.2-3-0-0-0.97-83,76.28,3
0.4,2.2,0,,c2d,35,70,0,1.638816e-11,70-2.2-3-0-0-0.4-55,42.11,3
0.22,2.2,0,,c2d,36,70,0,2.999261e-10,70-2.2-3-0-0-0.22-94,36.52,3
0.72,2.2,0,,dpmc,36,70,0,2.19818e-10,70-2.2-3-0-0-0.72-78,164.09,3
0.65,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.65-83,57.02,3
0.15,2.2,0,,dpmc,37,70,0,7.90272e-11,70-2.2-3-0-0-0.15-26,187.4,3
0.82,2.2,0,,dpmc,35,70,0,6.71811e-09,70-2.2-3-0-0-0.82-75,186.53,3
0.75,2.2,0,,d4,35,70,0,,70-2.2-3-0-0-0.75-22,290.39,3
0.33,2.2,0,,d4,35,70,0,7.722148e-13,70-2.2-3-0-0-0.33-78,31.88,3
0.49,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.49-6,26.68,3
0.62,2.2,0,,d4,35,70,0,,70-2.2-3-0-0-0.62-88,139.2,3
0.0,2.2,0,,cachet,37,70,0,1.1233e-11,70-2.2-3-0-0-0.0-29,21.5,3
0.48,2.2,0,,d4,37,70,0,6.080163e-11,70-2.2-3-0-0-0.48-61,125.83,3
0.5,2.2,0,,c2d,36,70,0,2.83449e-10,70-2.2-3-0-0-0.5-55,59.6,3
0.58,2.2,0,,c2d,35,70,0,2.176894e-12,70-2.2-3-0-0-0.58-50,53.04,3
0.78,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.78-93,328.4,3
0.24,2.2,0,,dpmc,36,70,0,1.50716e-09,70-2.2-3-0-0-0.24-40,428.19,3
0.15,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.15-90,7.96,3
0.82,2.2,0,,c2d,37,70,0,,70-2.2-3-0-0-0.82-18,188.59,3
0.18,2.2,0,,c2d,34,70,0,1.978796e-10,70-2.2-3-0-0-0.18-76,29.19,3
0.39,2.2,0,,d4,37,70,0,,70-2.2-3-0-0-0.39-97,452.72,3
0.58,2.2,0,,dpmc,37,70,0,,70-2.2-3-0-0-0.58-95,500.44,3
0.17,2.2,0,,d4,37,70,0,,70-2.2-3-0-0-0.17-61,402.49,3
0.27,2.2,0,,minic2d,38,70,0,0.0,70-2.2-3-0-0-0.27-87,125.88,3
0.42,2.2,0,,c2d,37,70,0,6.369682e-10,70-2.2-3-0-0-0.42-53,75.19,3
0.02,2.2,0,,cachet,36,70,0,9.42599e-13,70-2.2-3-0-0-0.02-90,4.78,3
0.23,2.2,0,,c2d,35,70,0,2.694272e-09,70-2.2-3-0-0-0.23-15,71.5,3
0.2,2.2,0,,c2d,34,70,0,4.60404e-13,70-2.2-3-0-0-0.2-28,77.26,3
0.12,2.2,0,,cachet,36,70,0,8.3423e-13,70-2.2-3-0-0-0.12-27,12.43,3
0.45,2.2,0,,c2d,37,70,0,7.046365e-12,70-2.2-3-0-0-0.45-8,76.75,3
0.74,2.2,0,,d4,35,70,0,3.462731e-10,70-2.2-3-0-0-0.74-37,146.87,3
0.57,2.2,0,,c2d,35,70,0,8.583212e-10,70-2.2-3-0-0-0.57-78,44.47,3
0.76,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.76-12,428.2,3
0.99,2.2,0,,cachet,36,70,0,1.25821e-09,70-2.2-3-0-0-0.99-36,3.67,3
0.24,2.2,0,,c2d,32,70,0,3.515214e-10,70-2.2-3-0-0-0.24-94,10.4,3
0.99,2.2,0,,cachet,36,70,0,1.96005e-10,70-2.2-3-0-0-0.99-81,3.14,3
0.1,2.2,0,,c2d,36,70,0,,70-2.2-3-0-0-0.1-14,188.12,3
0.33,2.2,0,,d4,38,70,0,,70-2.2-3-0-0-0.33-23,251.17,3
0.41,2.2,0,,dpmc,36,70,0,8.95026e-10,70-2.2-3-0-0-0.41-58,391.42,3
0.56,2.2,0,,d4,34,70,0,1.903088e-09,70-2.2-3-0-0-0.56-63,122.84,3
0.64,2.2,0,,cachet,36,70,0,2.29477e-11,70-2.2-3-0-0-0.64-29,8.44,3
0.08,2.2,0,,cachet,37,70,0,1.38828e-10,70-2.2-3-0-0-0.08-63,26.0,3
0.8,2.2,0,,d4,37,70,0,,70-2.2-3-0-0-0.8-14,148.87,3
0.63,2.2,0,,minic2d,38,70,0,0.0,70-2.2-3-0-0-0.63-83,19.92,3
0.23,2.2,0,,c2d,38,70,0,2.690768e-10,70-2.2-3-0-0-0.23-6,116.25,3
0.41,2.2,0,,dpmc,36,70,0,0,70-2.2-3-0-0-0.41-96,341.94,3
0.63,2.2,0,,cachet,35,70,0,2.30265e-09,70-2.2-3-0-0-0.63-88,7.77,3
0.27,2.2,0,,cachet,35,70,0,2.37211e-11,70-2.2-3-0-0-0.27-27,10.01,3
0.07,2.2,0,,d4,34,70,0,1.004558e-11,70-2.2-3-0-0-0.07-33,47.35,3
0.45,2.2,0,,dpmc,35,70,0,2.34701e-11,70-2.2-3-0-0-0.45-90,146.28,3
0.39,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.39-38,16.41,3
0.36,2.2,0,,c2d,35,70,0,9.242336e-11,70-2.2-3-0-0-0.36-7,53.12,3
0.05,2.2,0,,cachet,37,70,0,2.48188e-10,70-2.2-3-0-0-0.05-45,9.43,3
0.44,2.2,0,,dpmc,36,70,0,1.77282e-12,70-2.2-3-0-0-0.44-52,211.22,3
0.3,2.2,0,,d4,37,70,0,5.112924e-10,70-2.2-3-0-0-0.3-10,131.97,3
0.96,2.2,0,,c2d,35,70,0,9.74296e-10,70-2.2-3-0-0-0.96-18,83.16,3
0.68,2.2,0,,d4,37,70,0,,70-2.2-3-0-0-0.68-49,180.67,3
0.06,2.2,0,,c2d,37,70,0,8.283933e-14,70-2.2-3-0-0-0.06-27,25.06,3
0.74,2.2,0,,c2d,36,70,0,,70-2.2-3-0-0-0.74-35,180.3,3
0.78,2.2,0,,cachet,36,70,0,1.99204e-10,70-2.2-3-0-0-0.78-19,9.68,3
0.51,2.2,0,,minic2d,32,70,0,0.0,70-2.2-3-0-0-0.51-17,9.11,3
0.01,2.2,0,,cachet,37,70,0,4.77976e-12,70-2.2-3-0-0-0.01-21,12.19,3
0.93,2.2,0,,c2d,35,70,0,7.601572e-10,70-2.2-3-0-0-0.93-29,72.45,3
0.84,2.2,0,,c2d,37,70,0,9.742604e-11,70-2.2-3-0-0-0.84-10,45.32,3
0.0,2.2,0,,cachet,37,70,0,4.15768e-12,70-2.2-3-0-0-0.0-4,8.88,3
0.6,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.6-9,216.55,3
0.98,2.2,0,,c2d,35,70,0,1.522978e-09,70-2.2-3-0-0-0.98-15,76.64,3
0.54,2.2,0,,minic2d,38,70,0,0.0,70-2.2-3-0-0-0.54-48,33.37,3
0.82,2.2,0,,cachet,36,70,0,1.65025e-09,70-2.2-3-0-0-0.82-65,15.25,3
0.74,2.2,0,,cachet,36,70,0,3.16309e-10,70-2.2-3-0-0-0.74-60,5.83,3
0.46,2.2,0,,cachet,36,70,0,2.46506e-10,70-2.2-3-0-0-0.46-1,10.21,3
0.6,2.2,0,,c2d,36,70,0,,70-2.2-3-0-0-0.6-55,167.29,3
0.67,2.2,0,,d4,36,70,0,3.830704e-10,70-2.2-3-0-0-0.67-7,106.9,3
0.58,2.2,0,,c2d,36,70,0,5.291568e-11,70-2.2-3-0-0-0.58-58,30.99,3
0.37,2.2,0,,cachet,36,70,0,1.61349e-10,70-2.2-3-0-0-0.37-6,3.23,3
0.35,2.2,0,,cachet,34,70,0,1.11001e-11,70-2.2-3-0-0-0.35-66,6.84,3
0.86,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.86-16,16.56,3
0.32,2.2,0,,c2d,35,70,0,4.444271e-12,70-2.2-3-0-0-0.32-95,26.75,3
0.68,2.2,0,,dpmc,37,70,0,1.87712e-09,70-2.2-3-0-0-0.68-81,342.05,3
0.11,2.2,0,,dpmc,35,70,0,4.30981e-12,70-2.2-3-0-0-0.11-78,323.48,3
0.07,2.2,0,,minic2d,34,70,0,0.0,70-2.2-3-0-0-0.07-48,18.89,3
0.46,2.2,0,,d4,35,70,0,7.746158e-12,70-2.2-3-0-0-0.46-49,155.82,3
0.23,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.23-20,14.57,3
0.48,2.2,0,,dpmc,35,70,0,1.32638e-11,70-2.2-3-0-0-0.48-11,182.73,3
0.78,2.2,0,,cachet,36,70,0,6.89995e-11,70-2.2-3-0-0-0.78-28,8.08,3
0.85,2.2,0,,cachet,35,70,0,2.89715e-10,70-2.2-3-0-0-0.85-89,9.45,3
0.55,2.2,0,,c2d,35,70,0,1.143466e-10,70-2.2-3-0-0-0.55-32,37.88,3
0.0,2.2,0,,d4,37,70,0,4.895007e-11,70-2.2-3-0-0-0.0-14,92.1,3
0.64,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.64-24,71.34,3
0.82,2.2,0,,cachet,37,70,0,1.14023e-09,70-2.2-3-0-0-0.82-42,8.94,3
0.22,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.22-98,217.48,3
0.06,2.2,0,,c2d,36,70,0,2.109018e-10,70-2.2-3-0-0-0.06-96,47.96,3
0.84,2.2,0,,minic2d,38,70,0,0.0,70-2.2-3-0-0-0.84-68,26.14,3
0.82,2.2,0,,d4,37,70,0,,70-2.2-3-0-0-0.82-4,418.37,3
0.3,2.2,0,,cachet,38,70,0,3.7706e-11,70-2.2-3-0-0-0.3-4,10.72,3
1.0,2.2,0,1,minic2d,34,70,0,0.0,70-2.2-3-0-0-1.0-90,16.38,3
0.58,2.2,0,,c2d,35,70,0,,70-2.2-3-0-0-0.58-88,193.82,3
0.5,2.2,0,,d4,35,70,0,2.141351e-11,70-2.2-3-0-0-0.5-66,26.0,3
0.16,2.2,0,,c2d,33,70,0,1.696411e-10,70-2.2-3-0-0-0.16-46,50.05,3
0.66,2.2,0,,dpmc,37,70,0,2.86806e-10,70-2.2-3-0-0-0.66-86,348.96,3
0.15,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.15-99,62.46,3
0.03,2.2,0,,cachet,35,70,0,1.09682e-13,70-2.2-3-0-0-0.03-47,19.46,3
0.74,2.2,0,,d4,37,70,0,9.825653e-11,70-2.2-3-0-0-0.74-34,102.32,3
0.13,2.2,0,,d4,37,70,0,5.852008e-12,70-2.2-3-0-0-0.13-3,50.38,3
0.95,2.2,0,,dpmc,34,70,0,3.87298e-10,70-2.2-3-0-0-0.95-21,91.27,3
0.94,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.94-49,10.98,3
0.84,2.2,0,,cachet,35,70,0,2.34202e-09,70-2.2-3-0-0-0.84-41,12.06,3
0.57,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.57-27,147.57,3
0.95,2.2,0,,cachet,34,70,0,2.70425e-09,70-2.2-3-0-0-0.95-15,4.78,3
0.03,2.2,0,,cachet,37,70,0,5.2158e-13,70-2.2-3-0-0-0.03-39,6.58,3
0.35,2.2,0,,d4,39,70,0,9.48912e-13,70-2.2-3-0-0-0.35-33,130.05,3
0.06,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.06-25,35.02,3
0.06,2.2,0,,cachet,37,70,0,3.93588e-09,70-2.2-3-0-0-0.06-55,14.07,3
0.94,2.2,0,,minic2d,33,70,0,0.0,70-2.2-3-0-0-0.94-35,9.8,3
0.21,2.2,0,,cachet,36,70,0,7.99846e-11,70-2.2-3-0-0-0.21-19,7.41,3
0.52,2.2,0,,dpmc,38,70,0,,70-2.2-3-0-0-0.52-40,500.32,3
0.79,2.2,0,,c2d,36,70,0,1.928193e-10,70-2.2-3-0-0-0.79-93,54.04,3
0.85,2.2,0,,d4,34,70,0,2.018336e-10,70-2.2-3-0-0-0.85-94,87.8,3
0.96,2.2,0,,dpmc,37,70,0,3.12099e-10,70-2.2-3-0-0-0.96-73,195.88,3
0.01,2.2,0,,minic2d,37,70,0,0.0,70-2.2-3-0-0-0.01-28,23.01,3
0.72,2.2,0,,dpmc,38,70,0,,70-2.2-3-0-0-0.72-53,500.4,3
0.13,2.2,0,,dpmc,34,70,0,4.57511e-09,70-2.2-3-0-0-0.13-98,408.07,3
0.21,2.2,0,,c2d,36,70,0,1.169057e-11,70-2.2-3-0-0-0.21-89,49.79,3
0.78,2.2,0,,minic2d,37,70,0,0.0,70-2.2-3-0-0-0.78-72,34.92,3
0.04,2.2,0,,d4,36,70,0,2.187513e-08,70-2.2-3-0-0-0.04-81,68.28,3
0.06,2.2,0,,dpmc,34,70,0,5.22931e-12,70-2.2-3-0-0-0.06-83,119.97999999999999,3
0.21,2.2,0,,cachet,36,70,0,2.62835e-10,70-2.2-3-0-0-0.21-54,18.9,3
0.54,2.2,0,,cachet,35,70,0,6.88844e-12,70-2.2-3-0-0-0.54-52,8.31,3
0.27,2.2,0,,cachet,31,70,0,2.65936e-12,70-2.2-3-0-0-0.27-2,3.46,3
0.83,2.2,0,,dpmc,35,70,0,3.07663e-10,70-2.2-3-0-0-0.83-40,157.73,3
0.89,2.2,0,,c2d,37,70,0,,70-2.2-3-0-0-0.89-39,282.3,3
0.63,2.2,0,,c2d,35,70,0,3.918273e-10,70-2.2-3-0-0-0.63-24,102.5,3
0.74,2.2,0,,d4,38,70,0,,70-2.2-3-0-0-0.74-28,167.82999999999998,3
0.46,2.2,0,,d4,38,70,0,,70-2.2-3-0-0-0.46-96,347.54,3
0.53,2.2,0,,c2d,35,70,0,,70-2.2-3-0-0-0.53-9,465.79,3
0.37,2.2,0,,d4,35,70,0,2.199905e-11,70-2.2-3-0-0-0.37-81,103.75,3
0.14,2.2,0,,c2d,34,70,0,5.24964e-12,70-2.2-3-0-0-0.14-2,19.35,3
0.08,2.2,0,,cachet,35,70,0,3.87187e-12,70-2.2-3-0-0-0.08-59,4.76,3
0.12,2.2,0,,c2d,37,70,0,,70-2.2-3-0-0-0.12-6,192.95,3
0.59,2.2,0,,dpmc,36,70,0,1.06084e-10,70-2.2-3-0-0-0.59-7,58.39,3
